N	eigenvalue	difference	twstat	p-value	effect.n
1	30.100066	NA	85.167	1.27294e-229	64.439
2	17.988215	-12.111851	85.892	1.55678e-232	106.936
3	8.858286	-9.129930	37.791	3.10423e-69	144.868
4	7.463793	-1.394492	28.765	1.30896e-46	153.903
5	7.234569	-0.229225	30.780	2.16408e-51	160.169
6	6.580462	-0.654107	27.294	3.1933e-43	167.259
7	6.320343	-0.260119	28.039	6.31687e-45	173.437
8	5.965441	-0.354902	27.240	4.24181e-43	180.020
9	5.506617	-0.458825	24.294	1.36365e-36	186.529
10	5.310286	-0.196331	24.749	1.42352e-37	192.283
11	5.048159	-0.262127	23.944	7.61467e-36	198.327
12	4.858972	-0.189187	24.077	3.9582e-36	204.272
13	4.707891	-0.151081	24.761	1.34159e-37	210.409
14	4.451594	-0.256298	23.296	1.78968e-34	216.927
15	4.016946	-0.434647	17.648	2.3615e-23	223.127
16	3.961447	-0.055500	19.017	6.58838e-26	227.720
17	3.894761	-0.066686	20.253	2.71122e-28	232.825
18	3.848342	-0.046418	22.046	6.97303e-32	238.432
19	3.788143	-0.060199	23.690	2.64312e-35	244.763
20	3.691920	-0.096224	24.581	3.2827e-37	251.822
21	3.528593	-0.163326	23.719	2.28836e-35	259.385
22	3.390063	-0.138530	23.201	2.83606e-34	266.824
23	3.304118	-0.085944	23.919	8.59682e-36	274.258
24	3.097077	-0.207041	21.051	7.15138e-30	282.153
25	2.975062	-0.122015	20.150	4.32416e-28	289.160
26	2.920830	-0.054232	21.130	4.9758e-30	295.999
27	2.802573	-0.118256	20.060	6.45655e-28	303.368
28	2.776389	-0.026184	21.825	1.97245e-31	310.501
29	2.768004	-0.008386	24.380	8.894e-37	318.495
30	2.710666	-0.057337	25.454	4.134e-39	327.756
31	2.688009	-0.022657	27.878	1.4804e-44	337.736
32	2.614333	-0.073676	28.566	3.81034e-46	349.118
33	2.518406	-0.095927	28.278	1.76997e-45	361.165
34	2.330918	-0.187488	23.819	1.40476e-35	373.420
35	2.212076	-0.118842	21.499	9.02128e-31	383.828
36	2.176535	-0.035540	22.536	6.85492e-33	393.411
37	2.112334	-0.064202	22.263	2.50307e-32	403.721
38	1.974090	-0.138244	18.210	2.1692e-24	414.159
39	1.883404	-0.090686	15.914	2.93868e-20	422.922
40	1.845828	-0.037575	16.021	1.91374e-20	430.836
41	1.769973	-0.075855	14.048	4.15027e-17	438.964
42	1.706747	-0.063226	12.485	1.26921e-14	446.374
43	1.673146	-0.033601	12.358	1.98774e-14	453.240
44	1.636209	-0.036936	11.987	7.29963e-14	460.182
45	1.633081	-0.003129	13.503	3.16272e-16	467.091
46	1.572572	-0.060509	11.724	1.8174e-13	474.823
47	1.559408	-0.013164	12.597	8.51016e-15	481.886
48	1.516945	-0.042463	11.699	1.97827e-13	489.487
49	1.510368	-0.006576	12.949	2.40414e-15	496.812
50	1.472620	-0.037749	12.264	2.77132e-14	504.877
51	1.470642	-0.001978	13.839	9.09495e-17	512.764
52	1.429911	-0.040730	12.909	2.77669e-15	521.597
53	1.388159	-0.041752	11.768	1.56263e-13	530.132
54	1.367305	-0.020855	11.953	8.23252e-14	538.252
55	1.304820	-0.062485	9.111	8.86543e-10	546.624
56	1.293881	-0.010939	9.769	1.15399e-10	553.714
57	1.281457	-0.012424	10.345	1.82794e-11	561.260
58	1.260537	-0.020920	10.294	2.15935e-11	569.242
59	1.253912	-0.006625	11.321	7.19622e-13	577.344
60	1.212551	-0.041361	9.647	1.68989e-10	586.154
61	1.190467	-0.022083	9.352	4.23329e-10	594.220
62	1.160119	-0.030348	8.318	9.40284e-09	602.272
63	1.156435	-0.003684	9.412	3.51444e-10	609.910
64	1.131341	-0.025094	8.739	2.71627e-09	618.284
65	1.105988	-0.025353	7.958	9.14505e-09	626.434
66	1.087346	-0.018641	7.682	2.00002e-08	634.292
67	1.077021	-0.010325	8.109	1.72194e-08	642.132
68	1.065664	-0.011357	8.454	6.32692e-09	650.353
69	1.044340	-0.021324	7.870	1.18512e-08	658.920
70	1.009540	-0.034799	5.930	2.31882e-06	667.297
71	0.987740	-0.021800	5.073	1.92495e-05	674.688
72	0.985875	-0.001865	6.088	1.5491e-06	681.708
73	0.976067	-0.009808	6.370	7.43309e-07	689.432
74	0.965067	-0.010999	6.532	4.83378e-07	697.454
75	0.935990	-0.029078	4.827	3.43715e-05	705.712
76	0.918547	-0.017443	4.189	0.000145826	713.072
77	0.907149	-0.011399	4.130	0.00016616	720.167
78	0.892754	-0.014394	3.728	0.000393186	727.337
79	0.889744	-0.003010	4.523	6.9143e-05	734.375
80	0.884079	-0.005665	5.065	1.95781e-05	742.015
81	0.877762	-0.006317	5.557	5.92653e-06	750.123
82	0.846036	-0.031726	3.171	0.0012232	758.687
83	0.843325	-0.002711	3.951	0.000244687	765.845
84	0.823487	-0.019838	2.764	0.00267373	773.618
85	0.812571	-0.010916	2.540	0.00404078	780.741
86	0.808524	-0.004047	3.115	0.00136457	787.827
87	0.793752	-0.014772	2.406	0.00514595	795.398
88	0.789459	-0.004293	2.931	0.00194797	802.614
89	0.775118	-0.014341	2.219	0.00715197	810.293
90	0.767089	-0.008029	2.247	0.00681066	817.605
91	0.762862	-0.004227	2.753	0.00272935	825.046
92	0.755670	-0.007192	2.893	0.00209554	832.953
93	0.736086	-0.019584	1.392	0.0274436	841.083
94	0.729383	-0.006703	1.503	0.0231888	848.273
95	0.705882	-0.023501	-0.665	0.319422	855.646
96	0.696873	-0.009009	-0.992	0.41365	861.612
97	0.694639	-0.002233	-0.409	0.254039	867.432
98	0.680830	-0.013810	-1.420	0.548426	873.733
99	0.678018	-0.002812	-0.945	0.39958	879.411
