N	eigenvalue	difference	twstat	p-value	effect.n
1	34.191598	NA	80.052	1.99938e-209	53.209
2	20.508402	-13.683195	89.924	5.87294e-249	92.868
3	9.866188	-10.642214	46.412	1.53726e-93	136.187
4	8.258784	-1.607404	38.363	9.08343e-71	148.390
5	6.973207	-1.285577	29.449	3.25566e-48	157.785
6	6.851132	-0.122075	32.778	2.73519e-56	164.388
7	6.053244	-0.797888	26.848	3.27047e-42	172.295
8	5.748209	-0.305034	26.453	2.52768e-41	178.477
9	5.371752	-0.376457	24.520	4.4409e-37	184.701
10	5.284900	-0.086853	26.800	4.19735e-42	190.488
11	5.102915	-0.181984	27.664	4.5934e-44	197.152
12	4.964865	-0.138050	29.284	7.96562e-48	204.287
13	4.549658	-0.415208	25.509	3.1285e-39	212.189
14	4.294705	-0.254953	23.945	7.58167e-36	218.994
15	3.919436	-0.375269	19.246	2.40863e-26	225.450
16	3.807126	-0.112310	19.471	8.92742e-27	230.559
17	3.670710	-0.136415	19.053	5.6327e-26	235.853
18	3.599040	-0.071670	20.015	7.90094e-28	241.134
19	3.490044	-0.108996	20.085	5.77997e-28	246.843
20	3.383818	-0.106226	20.118	4.99334e-28	252.706
21	3.339457	-0.044360	21.704	3.45859e-31	258.714
22	3.297319	-0.042138	23.497	6.74723e-35	265.412
23	3.234284	-0.063035	24.857	8.32177e-38	272.929
24	3.119946	-0.114338	24.748	1.43306e-37	281.159
25	2.977034	-0.142911	23.547	5.30712e-35	289.561
26	2.744934	-0.232101	19.043	5.89226e-26	297.704
27	2.728946	-0.015988	21.041	7.48328e-30	304.322
28	2.660851	-0.068095	21.412	1.3515e-30	311.850
29	2.651447	-0.009403	23.863	1.13071e-35	319.705
30	2.564559	-0.086888	23.667	2.95281e-35	328.770
31	2.463227	-0.101332	22.733	2.6828e-33	337.985
32	2.384054	-0.079172	22.417	1.20605e-32	347.029
33	2.368070	-0.015985	24.590	3.14187e-37	356.162
34	2.295333	-0.072737	24.514	4.58769e-37	366.516
35	2.187546	-0.107787	22.700	3.13379e-33	377.108
36	2.137728	-0.049818	23.191	2.97801e-34	387.117
37	2.072599	-0.065130	22.899	1.2121e-33	397.615
38	1.874716	-0.197882	15.789	4.84541e-20	408.240
39	1.828751	-0.045966	15.478	1.66633e-19	415.827
40	1.739886	-0.088865	12.806	4.01883e-15	423.437
41	1.674389	-0.065496	11.050	1.78991e-12	430.051
42	1.625616	-0.048774	9.998	5.58024e-11	436.060
43	1.604163	-0.021452	10.347	1.81913e-11	441.746
44	1.575411	-0.028752	10.276	2.28884e-11	447.676
45	1.558261	-0.017150	10.844	3.55665e-12	453.682
46	1.540595	-0.017666	11.403	5.45425e-13	460.039
47	1.531416	-0.009179	12.499	1.20413e-14	466.758
48	1.483137	-0.048279	11.222	1.00502e-12	474.099
49	1.439249	-0.043888	10.058	4.60059e-11	480.996
50	1.414253	-0.024996	9.980	5.9145e-11	487.494
51	1.381627	-0.032626	9.354	4.20453e-10	494.072
52	1.357178	-0.024449	9.194	6.8799e-10	500.484
53	1.340914	-0.016264	9.554	2.25767e-10	506.935
54	1.328761	-0.012152	10.208	2.84759e-11	513.668
55	1.316546	-0.012216	10.886	3.09632e-12	520.834
56	1.304995	-0.011551	11.644	2.38946e-13	528.467
57	1.250820	-0.054175	9.249	5.8057e-10	536.628
58	1.223771	-0.027049	8.667	3.36414e-09	543.734
59	1.210252	-0.013519	9.058	1.04079e-09	550.679
60	1.186799	-0.023453	8.668	3.35822e-09	557.942
61	1.175280	-0.011519	9.179	7.19897e-10	565.136
62	1.164155	-0.011125	9.739	1.26521e-10	572.723
63	1.140588	-0.023566	9.279	5.3017e-10	580.746
64	1.116914	-0.023674	8.738	2.72875e-09	588.669
65	1.092724	-0.024190	8.076	1.89386e-08	596.443
66	1.087409	-0.005315	9.002	1.2309e-09	603.997
67	1.067346	-0.020062	8.653	3.51079e-09	612.197
68	1.052847	-0.014499	8.757	2.57822e-09	620.350
69	1.037512	-0.015335	8.764	2.52043e-09	628.710
70	1.007332	-0.030180	7.332	5.40378e-08	637.227
71	0.994068	-0.013264	7.393	4.58998e-08	645.069
72	0.978685	-0.015384	7.227	7.32406e-08	653.083
73	0.957520	-0.021165	6.444	6.10364e-07	661.140
74	0.942407	-0.015113	6.194	1.17674e-06	668.876
75	0.931271	-0.011136	6.314	8.59011e-07	676.596
76	0.919378	-0.011893	6.344	7.94366e-07	684.519
77	0.891957	-0.027420	4.696	4.65742e-05	692.596
78	0.885301	-0.006657	5.157	1.57402e-05	699.812
79	0.869685	-0.015616	4.647	5.20892e-05	707.424
80	0.852659	-0.017026	3.924	0.000259264	714.848
81	0.840195	-0.012465	3.650	0.000462648	721.950
82	0.828614	-0.011581	3.443	0.000709332	728.995
83	0.821779	-0.006835	3.759	0.000368597	736.021
84	0.802775	-0.019004	2.642	0.00335521	743.355
85	0.798794	-0.003981	3.235	0.00107691	750.102
86	0.792965	-0.005829	3.630	0.000482685	757.326
87	0.787751	-0.005214	4.113	0.000172336	764.920
88	0.779801	-0.007949	4.273	0.000121216	772.956
89	0.761292	-0.018510	3.087	0.00143996	781.232
90	0.753789	-0.007503	3.219	0.00111095	788.837
91	0.739602	-0.014187	2.474	0.0045606	796.651
92	0.736114	-0.003489	3.077	0.00146876	804.077
93	0.724685	-0.011429	2.644	0.00334191	812.036
94	0.713747	-0.010938	2.234	0.00697614	819.816
95	0.701870	-0.011877	1.653	0.0183368	827.427
96	0.688535	-0.013335	0.818	0.0623609	834.744
97	0.686182	-0.002353	1.467	0.0244967	841.582
98	0.672864	-0.013319	0.580	0.0850811	848.980
99	0.657477	-0.015387	-0.674	0.321992	855.851
100	0.647266	-0.010211	-1.258	0.496495	861.931
101	0.640140	-0.007125	-1.427	0.550651	867.683
102	0.638526	-0.001614	-0.793	0.355044	873.391
103	0.627397	-0.011129	-1.567	0.595008	879.626
104	0.620861	-0.006535	-1.694	0.634652	885.387
105	0.615199	-0.005663	-1.701	0.637034	891.130
106	0.608022	-0.007177	-1.954	0.712479	896.941
107	0.604793	-0.003229	-1.607	0.607638	902.642
108	0.597607	-0.007186	-1.879	0.690656	908.673
109	0.595890	-0.001717	-1.295	0.508396	914.578
110	0.580944	-0.014946	-2.835	0.908048	921.006
111	0.578676	-0.002268	-2.389	0.824777	926.341
112	0.573184	-0.005492	-2.461	0.840423	932.081
113	0.561734	-0.011450	-3.541	0.976349	937.837
114	0.556792	-0.004942	-3.586	0.978687	942.832
115	0.553682	-0.003110	-3.329	0.962766	947.849
116	0.548578	-0.005103	-3.408	0.968409	953.125
117	0.540955	-0.007623	-3.935	0.990999	958.400
118	0.538944	-0.002011	-3.514	0.974892	963.320
119	0.530066	-0.008878	-4.291	0.996727	968.633
120	0.519645	-0.010421	-5.389	0.999946	973.384
121	0.516759	-0.002886	-5.193	0.999873	977.316
122	0.515604	-0.001154	-4.678	0.99908	981.442
123	0.511651	-0.003954	-4.655	0.999004	986.025
124	0.505550	-0.006101	-5.033	0.999756	990.674
125	0.497484	-0.008066	-5.801	0.999992	995.062
126	0.496019	-0.001466	-5.374	0.999942	998.865
127	0.489579	-0.006440	-5.871	0.999995	1003.056
128	0.483343	-0.006235	-6.359	1	1006.874
129	0.479414	-0.003929	-6.431	1	1010.324
130	0.474554	-0.004860	-6.692	1	1013.743
131	0.473766	-0.000789	-6.177	0.999999	1016.973
132	0.464596	-0.009170	-7.285	1	1020.665
133	0.462919	-0.001677	-6.969	1	1023.452
134	0.459554	-0.003365	-6.979	1	1026.524
135	0.451788	-0.007765	-7.874	1	1029.611
136	0.448223	-0.003565	-7.966	1	1031.959
137	0.444919	-0.003304	-8.013	1	1034.241
138	0.439925	-0.004994	-8.410	1	1036.495
139	0.436954	-0.002971	-8.413	1	1038.421
140	0.435129	-0.001824	-8.182	1	1040.351
141	0.426694	-0.008435	-9.318	1	1042.486
