N	eigenvalue	difference	twstat	p-value	effect.n
1	11.272640	NA	66.560	2.95838e-159	167.265
2	10.186378	-1.086262	75.333	2.35062e-191	200.081
3	6.744227	-3.442151	46.003	2.48106e-92	244.049
4	5.714381	-1.029846	36.543	6.31069e-66	264.917
5	4.868440	-0.845940	26.349	4.31773e-41	280.729
6	4.631622	-0.236818	25.456	4.09735e-39	291.586
7	4.438352	-0.193270	25.065	2.93787e-38	302.343
8	3.977494	-0.460857	18.463	7.31695e-25	313.240
9	3.929926	-0.047569	20.007	8.20025e-28	321.287
10	3.802924	-0.127002	19.804	2.03211e-27	330.262
11	3.713278	-0.089645	20.368	1.61442e-28	339.382
12	3.510346	-0.202933	18.006	5.1793e-24	349.028
13	3.384774	-0.125572	17.205	1.5074e-22	357.769
14	3.339753	-0.045021	18.392	9.90357e-25	366.344
15	3.171116	-0.168638	16.173	1.03768e-20	375.728
16	3.111626	-0.059490	16.722	1.10872e-21	384.238
17	2.934600	-0.177026	13.738	1.32389e-16	393.234
18	2.806948	-0.127652	11.812	1.33988e-13	400.961
19	2.745090	-0.061857	11.682	2.09952e-13	407.936
20	2.672428	-0.072662	11.137	1.33823e-12	414.997
21	2.593815	-0.078613	10.285	2.21716e-11	421.946
22	2.485651	-0.108164	8.291	1.01834e-08	428.631
23	2.463176	-0.022474	9.029	1.13444e-09	434.508
24	2.439820	-0.023356	9.778	1.1217e-10	440.847
25	2.374874	-0.064946	9.057	1.04358e-09	447.677
26	2.335664	-0.039210	9.179	7.19567e-10	454.287
27	2.319112	-0.016552	10.137	3.57884e-11	461.089
28	2.226320	-0.092792	8.201	1.32285e-08	468.523
29	2.176915	-0.049405	7.750	1.63437e-08	475.106
30	2.162202	-0.014713	8.625	3.81686e-09	481.587
31	2.091845	-0.070357	7.259	6.65856e-08	488.649
32	2.072571	-0.019274	7.879	1.16039e-08	495.132
33	1.989009	-0.083562	5.769	3.49319e-06	502.066
34	1.957232	-0.031777	5.702	4.12939e-06	508.019
35	1.936443	-0.020789	6.095	1.52161e-06	514.044
36	1.900000	-0.036444	5.788	3.32943e-06	520.386
37	1.866754	-0.033246	5.577	5.64797e-06	526.679
38	1.829856	-0.036898	5.151	1.59513e-05	532.972
39	1.826688	-0.003168	6.280	9.40016e-07	539.145
40	1.799293	-0.027394	6.304	8.83172e-07	546.060
41	1.758893	-0.040400	5.658	4.60626e-06	553.119
42	1.714591	-0.044302	4.734	4.26464e-05	559.935
43	1.648653	-0.065939	2.595	0.00365582	566.343
44	1.633456	-0.015197	2.918	0.00199785	571.656
45	1.618911	-0.014545	3.283	0.000978155	577.236
46	1.599444	-0.019467	3.394	0.00078219	583.117
47	1.558765	-0.040678	2.335	0.0058366	589.161
48	1.557255	-0.001511	3.354	0.000849021	594.690
49	1.506460	-0.050795	1.653	0.0183424	600.910
50	1.491435	-0.015025	1.855	0.0132331	606.227
51	1.457593	-0.033842	0.964	0.0510681	611.747
52	1.447285	-0.010308	1.381	0.0279198	616.829
53	1.436073	-0.011212	1.760	0.0154455	622.236
54	1.420395	-0.015678	1.881	0.012671	627.960
55	1.400074	-0.020320	1.711	0.0167085	633.852
56	1.372544	-0.027530	1.063	0.0444414	639.732
57	1.350949	-0.021595	0.730	0.0700847	645.298
58	1.339191	-0.011758	0.990	0.0492524	650.742
59	1.329716	-0.009475	1.404	0.0269644	656.436
60	1.312889	-0.016827	1.349	0.0292997	662.491
61	1.302251	-0.010639	1.690	0.0172946	668.607
62	1.281518	-0.020733	1.355	0.0290205	675.053
63	1.274792	-0.006726	1.946	0.0113761	681.376
64	1.238413	-0.036378	0.495	0.0946685	688.216
65	1.221084	-0.017330	0.273	0.123643	694.154
66	1.199791	-0.021293	-0.261	0.220236	700.032
67	1.191385	-0.008406	0.093	0.151801	705.630
68	1.176916	-0.014469	0.013	0.165759	711.562
69	1.165425	-0.011491	0.137	0.144491	717.529
70	1.145350	-0.020075	-0.391	0.249821	723.679
71	1.133745	-0.011605	-0.319	0.233114	729.539
72	1.118619	-0.015126	-0.527	0.283036	735.542
73	1.110807	-0.007812	-0.185	0.204101	741.483
74	1.091012	-0.019795	-0.786	0.35308	747.773
75	1.084787	-0.006225	-0.345	0.239053	753.703
76	1.063395	-0.021392	-1.124	0.454373	760.063
77	1.046226	-0.017168	-1.617	0.610657	765.916
78	1.040339	-0.005887	-1.208	0.480882	771.474
79	1.015044	-0.025295	-2.426	0.832943	777.433
80	0.993798	-0.021247	-3.384	0.966772	782.524
81	0.992632	-0.001166	-2.671	0.881389	786.948
82	0.973651	-0.018981	-3.481	0.973004	791.981
83	0.962035	-0.011616	-3.697	0.983544	796.447
84	0.959571	-0.002464	-3.116	0.943518	800.801
85	0.937323	-0.022248	-4.292	0.996743	805.672
86	0.934462	-0.002862	-3.779	0.986546	809.668
87	0.924501	-0.009961	-3.896	0.990026	814.121
88	0.913132	-0.011369	-4.159	0.995156	818.535
89	0.911968	-0.001164	-3.486	0.973302	822.788
90	0.902472	-0.009496	-3.571	0.977934	827.654
91	0.880476	-0.021996	-4.866	0.999536	832.511
92	0.867590	-0.012886	-5.361	0.999938	836.338
93	0.860096	-0.007494	-5.363	0.999939	839.797
94	0.855637	-0.004459	-5.072	0.999792	843.291
95	0.848112	-0.007525	-5.077	0.999795	847.067
96	0.830526	-0.017586	-6.095	0.999998	850.881
97	0.821961	-0.008565	-6.262	0.999999	853.867
98	0.816755	-0.005206	-6.100	0.999998	856.738
99	0.813074	-0.003681	-5.779	0.999991	859.774
100	0.798183	-0.014891	-6.608	1	863.117
101	0.795373	-0.002810	-6.223	0.999999	865.769
102	0.788591	-0.006783	-6.242	0.999999	868.779
103	0.776740	-0.011851	-6.805	1	871.799
104	0.766024	-0.010715	-7.280	1	874.344
105	0.763240	-0.002784	-6.928	1	876.487
106	0.757557	-0.005684	-6.879	1	878.956
107	0.753263	-0.004293	-6.680	1	881.487
108	0.746308	-0.006955	-6.770	1	884.219
109	0.741179	-0.005130	-6.666	1	886.889
110	0.734353	-0.006825	-6.751	1	889.676
111	0.716685	-0.017668	-8.069	1	892.404
112	0.712740	-0.003946	-7.896	1	893.912
113	0.710287	-0.002453	-7.549	1	895.582
114	0.702241	-0.008046	-7.834	1	897.584
115	0.699326	-0.002915	-7.541	1	899.322
116	0.690077	-0.009250	-7.978	1	901.347
117	0.684829	-0.005247	-7.970	1	902.953
118	0.673385	-0.011445	-8.699	1	904.568
119	0.671889	-0.001496	-8.281	1	905.474
120	0.663655	-0.008234	-8.655	1	906.779
121	0.655874	-0.007781	-8.994	1	907.712
122	0.654147	-0.001727	-8.619	1	908.300
123	0.652228	-0.001919	-8.254	1	909.247
124	0.644177	-0.008051	-8.628	1	910.556
125	0.641313	-0.002864	-8.383	1	911.476
126	0.634760	-0.006553	-8.588	1	912.638
127	0.629634	-0.005126	-8.628	1	913.578
128	0.618037	-0.011597	-9.488	1	914.463
129	0.617567	-0.000470	-8.983	1	914.440
130	0.610834	-0.006733	-9.254	1	914.921
131	0.606431	-0.004403	-9.243	1	915.095
132	0.600958	-0.005473	-9.373	1	915.257
133	0.592754	-0.008204	-9.864	1	915.257
134	0.589691	-0.003063	-9.712	1	914.707
135	0.584331	-0.005360	-9.856	1	914.287
136	0.579333	-0.004999	-9.962	1	913.679
137	0.576847	-0.002486	-9.744	1	912.923
138	0.567495	-0.009352	-10.429	1	912.368
139	0.565103	-0.002392	-10.219	1	911.031
140	0.560582	-0.004521	-10.288	1	909.877
141	0.555110	-0.005471	-10.490	1	908.606
142	0.553571	-0.001539	-10.173	1	907.068
143	0.550377	-0.003194	-10.069	1	905.835
144	0.542225	-0.008152	-10.637	1	904.674
145	0.534652	-0.007573	-11.152	1	902.826
146	0.531208	-0.003444	-11.125	1	900.353
147	0.529360	-0.001848	-10.879	1	897.851
148	0.529124	-0.000236	-10.404	1	895.565
149	0.523760	-0.005364	-10.621	1	893.767
150	0.518970	-0.004790	-10.770	1	891.661
151	0.513836	-0.005134	-10.976	1	889.323
152	0.511033	-0.002803	-10.865	1	886.685
153	0.506333	-0.004700	-11.019	1	884.112
154	0.505242	-0.001091	-10.673	1	881.293
155	0.499179	-0.006062	-11.017	1	878.819
156	0.497454	-0.001725	-10.763	1	875.866
157	0.494438	-0.003017	-10.685	1	873.149
158	0.491144	-0.003294	-10.645	1	870.458
159	0.487587	-0.003556	-10.643	1	867.747
160	0.480518	-0.007069	-11.148	1	864.967
161	0.474815	-0.005703	-11.478	1	861.490
162	0.471512	-0.003303	-11.477	1	857.531
163	0.465991	-0.005520	-11.797	1	853.491
164	0.461749	-0.004242	-11.947	1	848.977
165	0.459523	-0.002226	-11.811	1	844.197
166	0.457975	-0.001548	-11.573	1	839.492
