K	CV
2	0.29524
2	0.29524
2	0.29529
2	0.29529
2	0.29533
2	0.29533
2	0.29542
2	0.29542
2	0.29546
2	0.29546
2	0.29546
2	0.29546
2	0.29547
2	0.29547
2	0.29551
2	0.29551
2	0.29554
2	0.29554
2	0.29559
2	0.29559
3	0.27762
3	0.27762
3	0.27765
3	0.27765
3	0.27788
3	0.27788
3	0.27788
3	0.27788
3	0.27791
3	0.27791
3	0.27794
3	0.27794
3	0.27798
3	0.27798
3	0.27805
3	0.27805
3	0.27806
3	0.27806
3	0.27815
3	0.27815
4	0.26270
4	0.26270
4	0.26281
4	0.26281
4	0.26285
4	0.26285
4	0.26292
4	0.26292
4	0.26294
4	0.26294
4	0.26298
4	0.26298
4	0.26299
4	0.26299
4	0.26304
4	0.26304
4	0.26315
4	0.26315
4	0.26323
4	0.26323
5	0.25217
5	0.25217
5	0.25236
5	0.25236
5	0.25241
5	0.25241
5	0.25252
5	0.25252
5	0.25256
5	0.25256
5	0.25257
5	0.25257
5	0.25275
5	0.25275
5	0.25278
5	0.25278
5	0.25685
5	0.25685
5	0.25696
5	0.25696
6	0.24631
6	0.24631
6	0.24641
6	0.24641
6	0.24658
6	0.24658
6	0.24677
6	0.24677
6	0.24692
6	0.24692
6	0.24915
6	0.24915
6	0.24925
6	0.24925
6	0.24970
6	0.24970
6	0.24988
6	0.24988
6	0.25060
6	0.25060
7	0.24072
7	0.24072
7	0.24249
7	0.24249
7	0.24290
7	0.24290
7	0.24301
7	0.24301
7	0.24305
7	0.24305
7	0.24314
7	0.24314
7	0.24324
7	0.24324
7	0.24335
7	0.24335
7	0.24374
7	0.24374
7	0.24445
7	0.24445
8	0.23677
8	0.23677
8	0.23926
8	0.23926
8	0.23958
8	0.23958
8	0.23964
8	0.23964
8	0.23970
8	0.23970
8	0.23985
8	0.23985
8	0.24215
8	0.24215
8	0.24317
8	0.24317
8	0.24346
8	0.24346
8	0.24349
8	0.24349
9	0.23310
9	0.23310
9	0.23337
9	0.23337
9	0.23349
9	0.23349
9	0.23461
9	0.23461
9	0.23693
9	0.23693
9	0.23778
9	0.23778
9	0.23853
9	0.23853
9	0.23963
9	0.23963
9	0.23980
9	0.23980
9	0.24033
9	0.24033
10	0.23093
10	0.23093
10	0.23205
10	0.23205
10	0.23424
10	0.23424
10	0.23616
10	0.23616
10	0.23707
10	0.23707
10	0.23715
10	0.23715
10	0.23729
10	0.23729
10	0.23794
10	0.23794
10	0.23915
10	0.23915
10	0.23978
10	0.23978
