N	eigenvalue	difference	twstat	p-value	effect.n
1	30.845170	NA	79.053	1.47964e-205	59.298
2	18.174240	-12.670930	74.610	1.23039e-188	94.842
3	12.185457	-5.988784	58.384	3.50975e-131	122.461
4	8.748714	-3.436743	38.676	1.30045e-71	140.028
5	7.261787	-1.486927	28.666	2.22362e-46	149.294
6	6.932706	-0.329081	29.409	4.03211e-48	155.454
7	6.362709	-0.569997	26.680	7.7989e-42	162.022
8	6.194575	-0.168134	28.631	2.69111e-46	167.925
9	5.794846	-0.399729	27.234	4.38016e-43	174.605
10	5.260096	-0.534751	22.967	8.73237e-34	181.022
11	5.168940	-0.091156	24.959	4.99692e-38	186.296
12	4.940104	-0.228836	24.734	1.53424e-37	192.311
13	4.589132	-0.350971	21.959	1.05122e-31	198.411
14	4.356961	-0.232171	20.719	3.26759e-29	203.801
15	4.317221	-0.039740	22.972	8.53052e-34	208.945
16	4.006767	-0.310454	19.789	2.17846e-27	214.913
17	3.966017	-0.040750	21.774	2.49526e-31	220.029
18	3.802342	-0.163675	21.175	4.04246e-30	225.888
19	3.654595	-0.147747	20.694	3.66102e-29	231.693
20	3.501938	-0.152657	19.868	1.52815e-27	237.480
21	3.484053	-0.017885	22.222	3.0465e-32	243.134
22	3.356811	-0.127241	21.944	1.12886e-31	249.713
23	3.286297	-0.070515	23.040	6.14247e-34	256.357
24	3.260596	-0.025701	25.479	3.63453e-39	263.560
25	3.011150	-0.249446	21.480	9.85089e-31	271.875
26	2.901476	-0.109674	20.971	1.03094e-29	278.882
27	2.886331	-0.015144	23.314	1.63794e-34	285.870
28	2.799892	-0.086439	23.527	5.82948e-35	293.928
29	2.702870	-0.097022	23.261	2.12392e-34	302.278
30	2.643777	-0.059093	24.181	2.38036e-36	310.733
31	2.536535	-0.107241	23.298	1.76892e-34	319.792
32	2.471593	-0.064943	23.781	1.69371e-35	328.710
33	2.438236	-0.033357	25.494	3.38226e-39	338.069
34	2.387021	-0.051215	26.603	1.1661e-41	348.450
35	2.292877	-0.094144	25.858	5.31852e-40	359.644
36	2.175085	-0.117792	23.738	2.09302e-35	370.789
37	2.106939	-0.068146	23.478	7.40679e-35	381.211
38	2.072492	-0.034447	24.708	1.74624e-37	391.781
39	1.964585	-0.107907	22.267	2.4552e-32	403.240
40	1.808896	-0.155689	16.812	7.6636e-22	413.778
41	1.716986	-0.091910	13.993	5.0949e-17	421.987
42	1.666284	-0.050702	13.073	1.53241e-15	429.121
43	1.610085	-0.056199	11.692	2.02829e-13	435.999
44	1.602276	-0.007809	12.930	2.56953e-15	442.417
45	1.565335	-0.036941	12.529	1.08506e-14	449.494
46	1.519253	-0.046082	11.487	4.09507e-13	456.531
47	1.506920	-0.012333	12.390	1.77358e-14	463.239
48	1.476163	-0.030757	12.179	3.73543e-14	470.481
49	1.430491	-0.045672	10.939	2.59605e-12	477.765
50	1.417030	-0.013461	11.668	2.2051e-13	484.618
51	1.387092	-0.029938	11.319	7.24816e-13	491.937
52	1.341894	-0.045198	9.846	9.04393e-11	499.231
53	1.306793	-0.035102	8.909	1.63482e-09	505.967
54	1.303604	-0.003189	10.144	3.49885e-11	512.388
55	1.278937	-0.024667	9.892	7.81139e-11	519.507
56	1.249128	-0.029809	9.202	6.71441e-10	526.634
