K	CV
2	0.30279
2	0.30279
2	0.30281
2	0.30281
2	0.30285
2	0.30285
2	0.30295
2	0.30295
2	0.30306
2	0.30306
2	0.30309
2	0.30309
2	0.30313
2	0.30313
2	0.30315
2	0.30315
2	0.30315
2	0.30315
2	0.30326
2	0.30326
3	0.28657
3	0.28657
3	0.28666
3	0.28666
3	0.28671
3	0.28671
3	0.28674
3	0.28674
3	0.28682
3	0.28682
3	0.28684
3	0.28684
3	0.28699
3	0.28699
3	0.28703
3	0.28703
3	0.28710
3	0.28710
3	0.28722
3	0.28722
4	0.27287
4	0.27287
4	0.27292
4	0.27292
4	0.27306
4	0.27306
4	0.27308
4	0.27308
4	0.27318
4	0.27318
4	0.27319
4	0.27319
4	0.27320
4	0.27320
4	0.27451
4	0.27451
4	0.27467
4	0.27467
4	0.27469
4	0.27469
5	0.26194
5	0.26194
5	0.26201
5	0.26201
5	0.26213
5	0.26213
5	0.26219
5	0.26219
5	0.26219
5	0.26219
5	0.26223
5	0.26223
5	0.26224
5	0.26224
5	0.26235
5	0.26235
5	0.26260
5	0.26260
5	0.26897
5	0.26897
6	0.25638
6	0.25638
6	0.25663
6	0.25663
6	0.25673
6	0.25673
6	0.25679
6	0.25679
6	0.25768
6	0.25768
6	0.25824
6	0.25824
6	0.25831
6	0.25831
6	0.25893
6	0.25893
6	0.25900
6	0.25900
6	0.26116
6	0.26116
7	0.25224
7	0.25224
7	0.25226
7	0.25226
7	0.25340
7	0.25340
7	0.25369
7	0.25369
7	0.25381
7	0.25381
7	0.25392
7	0.25392
7	0.25406
7	0.25406
7	0.25505
7	0.25505
7	0.25514
7	0.25514
7	0.25706
7	0.25706
8	0.24890
8	0.24890
8	0.24968
8	0.24968
8	0.24977
8	0.24977
8	0.25107
8	0.25107
8	0.25167
8	0.25167
8	0.25216
8	0.25216
8	0.25406
8	0.25406
8	0.25484
8	0.25484
8	0.25638
8	0.25638
8	0.25663
8	0.25663
9	0.24484
9	0.24484
9	0.24495
9	0.24495
9	0.24591
9	0.24591
9	0.24592
9	0.24592
9	0.24756
9	0.24756
9	0.25018
9	0.25018
9	0.25074
9	0.25074
9	0.25137
9	0.25137
9	0.25177
9	0.25177
9	0.25182
9	0.25182
10	0.24182
10	0.24182
10	0.24186
10	0.24186
10	0.24237
10	0.24237
10	0.24241
10	0.24241
10	0.24599
10	0.24599
10	0.24752
10	0.24752
10	0.24936
10	0.24936
10	0.24943
10	0.24943
10	0.25009
10	0.25009
10	0.25097
10	0.25097
