K	CV
2	0.27297
2	0.27297
2	0.27312
2	0.27312
2	0.27319
2	0.27319
2	0.27323
2	0.27323
2	0.27325
2	0.27325
2	0.27325
2	0.27325
2	0.27330
2	0.27330
2	0.27332
2	0.27332
2	0.27333
2	0.27333
2	0.27345
2	0.27345
3	0.25872
3	0.25872
3	0.25883
3	0.25883
3	0.25888
3	0.25888
3	0.25897
3	0.25897
3	0.26090
3	0.26090
3	0.26094
3	0.26094
3	0.26114
3	0.26114
3	0.26121
3	0.26121
3	0.26126
3	0.26126
3	0.26176
3	0.26176
4	0.24666
4	0.24666
4	0.24683
4	0.24683
4	0.24690
4	0.24690
4	0.24694
4	0.24694
4	0.24738
4	0.24738
4	0.24744
4	0.24744
4	0.24761
4	0.24761
4	0.24950
4	0.24950
4	0.24974
4	0.24974
4	0.24977
4	0.24977
5	0.23783
5	0.23783
5	0.23783
5	0.23783
5	0.23787
5	0.23787
5	0.23803
5	0.23803
5	0.23815
5	0.23815
5	0.23816
5	0.23816
5	0.23817
5	0.23817
5	0.23827
5	0.23827
5	0.23840
5	0.23840
5	0.23859
5	0.23859
6	0.23415
6	0.23415
6	0.23418
6	0.23418
6	0.23436
6	0.23436
6	0.23440
6	0.23440
6	0.23485
6	0.23485
6	0.23508
6	0.23508
6	0.23519
6	0.23519
6	0.23634
6	0.23634
6	0.23765
6	0.23765
6	0.23846
6	0.23846
7	0.23060
7	0.23060
7	0.23068
7	0.23068
7	0.23102
7	0.23102
7	0.23210
7	0.23210
7	0.23222
7	0.23222
7	0.23301
7	0.23301
7	0.23327
7	0.23327
7	0.23332
7	0.23332
7	0.23410
7	0.23410
7	0.23459
7	0.23459
8	0.22757
8	0.22757
8	0.22901
8	0.22901
8	0.22909
8	0.22909
8	0.22989
8	0.22989
8	0.23048
8	0.23048
8	0.23159
8	0.23159
8	0.23164
8	0.23164
8	0.23171
8	0.23171
8	0.23193
8	0.23193
8	0.23193
8	0.23193
9	0.22574
9	0.22574
9	0.22694
9	0.22694
9	0.22756
9	0.22756
9	0.22761
9	0.22761
9	0.22848
9	0.22848
9	0.22865
9	0.22865
9	0.22880
9	0.22880
9	0.22891
9	0.22891
9	0.22929
9	0.22929
9	0.23000
9	0.23000
10	0.22511
10	0.22511
10	0.22511
10	0.22511
10	0.22525
10	0.22525
10	0.22545
10	0.22545
10	0.22625
10	0.22625
10	0.22629
10	0.22629
10	0.22690
10	0.22690
10	0.22692
10	0.22692
10	0.22802
10	0.22802
10	0.22840
10	0.22840
11	0.22381
11	0.22381
11	0.22384
11	0.22384
11	0.22408
11	0.22408
11	0.22431
11	0.22431
11	0.22452
11	0.22452
11	0.22514
11	0.22514
11	0.22515
11	0.22515
11	0.22521
11	0.22521
11	0.22526
11	0.22526
11	0.22546
11	0.22546
12	0.22190
12	0.22190
12	0.22191
12	0.22191
12	0.22301
12	0.22301
12	0.22330
12	0.22330
12	0.22409
12	0.22409
12	0.22417
12	0.22417
12	0.22420
12	0.22420
12	0.22451
12	0.22451
12	0.22483
12	0.22483
12	0.22486
12	0.22486
13	0.21980
13	0.21980
13	0.22103
13	0.22103
13	0.22125
13	0.22125
13	0.22142
13	0.22142
13	0.22152
13	0.22152
13	0.22155
13	0.22155
13	0.22177
13	0.22177
13	0.22238
13	0.22238
13	0.22246
13	0.22246
13	0.22515
13	0.22515
14	0.21897
14	0.21897
14	0.21923
14	0.21923
14	0.22002
14	0.22002
14	0.22018
14	0.22018
14	0.22054
14	0.22054
14	0.22085
14	0.22085
14	0.22089
14	0.22089
14	0.22122
14	0.22122
14	0.22287
14	0.22287
14	0.22355
14	0.22355
15	0.21781
15	0.21781
15	0.21804
15	0.21804
15	0.21848
15	0.21848
15	0.21856
15	0.21856
15	0.21867
15	0.21867
15	0.21935
15	0.21935
15	0.21968
15	0.21968
15	0.22045
15	0.22045
15	0.22080
15	0.22080
15	0.22120
15	0.22120
16	0.21743
16	0.21743
16	0.21744
16	0.21744
16	0.21873
16	0.21873
16	0.21889
16	0.21889
16	0.22018
16	0.22018
16	0.22041
16	0.22041
16	0.22081
16	0.22081
16	0.22086
16	0.22086
16	0.22132
16	0.22132
16	0.22167
16	0.22167
17	0.21576
17	0.21576
17	0.21633
17	0.21633
17	0.21683
17	0.21683
17	0.21718
17	0.21718
17	0.21781
17	0.21781
17	0.21845
17	0.21845
17	0.21979
17	0.21979
17	0.22002
17	0.22002
17	0.22007
17	0.22007
17	0.22058
17	0.22058
18	0.21479
18	0.21479
18	0.21715
18	0.21715
18	0.21747
18	0.21747
18	0.21751
18	0.21751
18	0.21793
18	0.21793
18	0.21826
18	0.21826
18	0.21863
18	0.21863
18	0.21904
18	0.21904
18	0.22029
18	0.22029
18	0.22093
18	0.22093
19	0.21478
19	0.21478
19	0.21596
19	0.21596
19	0.21620
19	0.21620
19	0.21635
19	0.21635
19	0.21643
19	0.21643
19	0.21715
19	0.21715
19	0.21751
19	0.21751
19	0.21776
19	0.21776
19	0.21945
19	0.21945
19	0.21946
19	0.21946
20	0.21362
20	0.21362
20	0.21422
20	0.21422
20	0.21483
20	0.21483
20	0.21595
20	0.21595
20	0.21685
20	0.21685
20	0.21687
20	0.21687
20	0.21791
20	0.21791
20	0.21972
20	0.21972
20	0.22155
20	0.22155
20	0.22164
20	0.22164
