N	eigenvalue	difference	twstat	p-value	effect.n
1	9.724715	NA	64.817	4.07362e-153	196.648
2	7.473739	-2.250976	51.336	1.68681e-108	232.508
3	6.267335	-1.206404	42.531	2.72545e-82	258.519
4	5.160758	-1.106578	30.006	1.55426e-49	279.274
5	4.932350	-0.228408	30.233	4.46078e-50	292.904
6	4.446508	-0.485842	24.785	1.19156e-37	307.181
7	4.205446	-0.241062	23.162	3.41161e-34	318.851
8	3.884081	-0.321365	19.176	3.27892e-26	330.013
9	3.576469	-0.307612	14.646	4.25637e-18	339.412
10	3.451443	-0.125026	13.797	1.06256e-16	346.841
11	3.437245	-0.014198	15.552	1.24419e-19	354.051
12	3.326632	-0.110613	14.972	1.20999e-18	362.284
13	3.184932	-0.141700	13.395	4.71148e-16	370.434
14	3.131287	-0.053645	13.965	5.67009e-17	378.000
15	3.056020	-0.075267	13.930	6.45844e-17	386.031
16	3.019049	-0.036971	14.944	1.34858e-18	394.238
17	2.956700	-0.062349	15.261	3.90987e-19	403.182
18	2.861957	-0.094744	14.542	6.36435e-18	412.524
19	2.680884	-0.181073	10.889	3.06524e-12	421.703
20	2.604351	-0.076534	10.157	3.35538e-11	429.136
21	2.587879	-0.016472	11.313	7.39755e-13	436.351
22	2.539749	-0.048130	11.467	4.38565e-13	444.338
23	2.438834	-0.100915	9.726	1.32101e-10	452.590
24	2.415970	-0.022863	10.564	8.95439e-12	460.070
25	2.386473	-0.029497	11.209	1.0526e-12	468.175
26	2.368827	-0.017646	12.331	2.18567e-14	476.830
27	2.353017	-0.015810	13.609	2.14097e-16	486.353
28	2.197102	-0.155915	9.383	3.84427e-10	496.903
29	2.111396	-0.085706	7.500	3.39695e-08	505.106
30	2.054266	-0.057131	6.586	4.18388e-07	512.385
31	2.037043	-0.017223	7.255	6.74225e-08	519.285
32	2.028898	-0.008145	8.353	8.49633e-09	526.708
33	1.944950	-0.083947	6.165	1.26992e-06	534.943
34	1.910316	-0.034635	5.968	2.10904e-06	542.024
35	1.877659	-0.032657	5.818	3.08718e-06	549.125
36	1.839397	-0.038262	5.365	9.49744e-06	556.272
37	1.797838	-0.041559	4.690	4.71472e-05	563.280
38	1.761698	-0.036140	4.197	0.000143266	570.010
39	1.733027	-0.028671	4.011	0.000215286	576.563
40	1.679204	-0.053823	2.521	0.00418209	583.119
41	1.668539	-0.010666	3.101	0.00140208	588.888
42	1.634182	-0.034357	2.478	0.00452223	595.107
