K	CV
2	0.26789
2	0.26789
2	0.26808
2	0.26808
2	0.26812
2	0.26812
2	0.26826
2	0.26826
2	0.26826
2	0.26826
2	0.26827
2	0.26827
2	0.26827
2	0.26827
2	0.26827
2	0.26827
2	0.26844
2	0.26844
2	0.26849
2	0.26849
3	0.25165
3	0.25165
3	0.25172
3	0.25172
3	0.25189
3	0.25189
3	0.25208
3	0.25208
3	0.25214
3	0.25214
3	0.25235
3	0.25235
3	0.25395
3	0.25395
3	0.25403
3	0.25403
3	0.25415
3	0.25415
3	0.25419
3	0.25419
4	0.23819
4	0.23819
4	0.23828
4	0.23828
4	0.23840
4	0.23840
4	0.23849
4	0.23849
4	0.23858
4	0.23858
4	0.23866
4	0.23866
4	0.23892
4	0.23892
4	0.24353
4	0.24353
4	0.24455
4	0.24455
4	0.24473
4	0.24473
5	0.23058
5	0.23058
5	0.23066
5	0.23066
5	0.23078
5	0.23078
5	0.23105
5	0.23105
5	0.23107
5	0.23107
5	0.23123
5	0.23123
5	0.23127
5	0.23127
5	0.23135
5	0.23135
5	0.23145
5	0.23145
5	0.23251
5	0.23251
6	0.22513
6	0.22513
6	0.22525
6	0.22525
6	0.22529
6	0.22529
6	0.22544
6	0.22544
6	0.22572
6	0.22572
6	0.22579
6	0.22579
6	0.22589
6	0.22589
6	0.22598
6	0.22598
6	0.22603
6	0.22603
6	0.22613
6	0.22613
7	0.22028
7	0.22028
7	0.22030
7	0.22030
7	0.22037
7	0.22037
7	0.22056
7	0.22056
7	0.22058
7	0.22058
7	0.22065
7	0.22065
7	0.22066
7	0.22066
7	0.22072
7	0.22072
7	0.22087
7	0.22087
7	0.22324
7	0.22324
8	0.21688
8	0.21688
8	0.21734
8	0.21734
8	0.21765
8	0.21765
8	0.21767
8	0.21767
8	0.21903
8	0.21903
8	0.21926
8	0.21926
8	0.21951
8	0.21951
8	0.21982
8	0.21982
8	0.22012
8	0.22012
8	0.22088
8	0.22088
9	0.21531
9	0.21531
9	0.21538
9	0.21538
9	0.21580
9	0.21580
9	0.21667
9	0.21667
9	0.21733
9	0.21733
9	0.21746
9	0.21746
9	0.21748
9	0.21748
9	0.21780
9	0.21780
9	0.21791
9	0.21791
9	0.21849
9	0.21849
10	0.21317
10	0.21317
10	0.21453
10	0.21453
10	0.21464
10	0.21464
10	0.21496
10	0.21496
10	0.21516
10	0.21516
10	0.21522
10	0.21522
10	0.21534
10	0.21534
10	0.21558
10	0.21558
10	0.21616
10	0.21616
10	0.21835
10	0.21835
