N	eigenvalue	difference	twstat	p-value	effect.n
1	29.332570	NA	81.843	2.00095e-216	64.456
2	16.499509	-12.833061	69.474	1.07496e-169	102.165
3	11.679968	-4.819541	54.759	2.47199e-119	125.921
4	8.155189	-3.524779	31.674	1.45033e-53	141.692
5	7.643732	-0.511456	31.456	4.96221e-53	148.578
6	7.024535	-0.619198	29.270	8.59105e-48	155.601
7	6.357450	-0.667084	25.320	8.11406e-39	162.128
8	6.096551	-0.260900	25.736	9.90827e-40	167.627
9	5.914258	-0.182293	27.148	6.87171e-43	173.396
10	5.331013	-0.583245	22.309	2.01901e-32	179.759
11	5.248063	-0.082950	24.374	9.17822e-37	184.815
12	4.919508	-0.328555	22.435	1.10924e-32	190.618
13	4.731219	-0.188289	22.417	1.20988e-32	195.974
14	4.474309	-0.256910	20.917	1.32437e-29	201.457
15	4.338813	-0.135496	21.349	1.81021e-30	206.616
16	4.149259	-0.189554	20.599	5.64447e-29	212.030
17	4.083926	-0.065334	22.212	3.19349e-32	217.341
18	3.733788	-0.350138	17.641	2.42846e-23	223.290
19	3.719513	-0.014275	19.886	1.41327e-27	227.954
20	3.623715	-0.095798	20.444	1.14207e-28	233.414
21	3.509280	-0.114435	20.508	8.54611e-29	239.181
22	3.406365	-0.102915	20.749	2.84937e-29	245.104
23	3.259818	-0.146547	19.734	2.78603e-27	251.249
24	3.237360	-0.022458	21.867	1.61474e-31	257.193
25	3.112037	-0.125324	21.273	2.56936e-30	264.023
26	2.983421	-0.128616	20.342	1.8157e-28	270.805
27	2.881502	-0.101919	19.960	1.01224e-27	277.413
28	2.863179	-0.018323	22.089	5.70601e-32	284.039
29	2.735695	-0.127484	20.808	2.18181e-29	291.622
30	2.566568	-0.169127	17.750	1.52977e-23	298.897
31	2.560023	-0.006545	19.928	1.16816e-27	305.195
32	2.497782	-0.062242	20.283	2.36548e-28	312.458
33	2.472933	-0.024849	22.015	8.06825e-32	320.034
34	2.447341	-0.025592	23.880	1.04251e-35	328.504
35	2.320945	-0.126396	21.786	2.35875e-31	338.000
36	2.282749	-0.038196	22.974	8.46824e-34	346.818
37	2.184908	-0.097841	21.602	5.58844e-31	356.388
38	2.125115	-0.059793	21.630	4.8934e-31	365.580
39	2.059759	-0.065356	21.291	2.36706e-30	375.015
40	1.931238	-0.128521	17.713	1.79372e-23	384.528
41	1.846911	-0.084327	15.766	5.30089e-20	392.645
42	1.750578	-0.096333	12.887	3.00631e-15	400.090
43	1.700309	-0.050269	12.053	5.80163e-14	406.474
44	1.690123	-0.010187	13.249	8.04965e-16	412.639
45	1.647463	-0.042660	12.735	5.1888e-15	419.424
46	1.637417	-0.010046	13.964	5.69026e-17	426.123
47	1.615881	-0.021536	14.616	4.79229e-18	433.494
48	1.556873	-0.059008	13.061	1.59759e-15	441.312
49	1.542969	-0.013904	14.030	4.44009e-17	448.581
50	1.507865	-0.035104	13.736	1.33395e-16	456.443
51	1.429327	-0.078538	10.587	8.31902e-12	464.327
52	1.400584	-0.028744	10.319	1.9896e-11	470.912
53	1.365891	-0.034693	9.594	1.99319e-10	477.498
54	1.332775	-0.033116	8.875	1.80902e-09	483.875
55	1.309339	-0.023437	8.728	2.80594e-09	490.041
56	1.304417	-0.004921	9.845	9.05388e-11	496.249
57	1.282267	-0.022150	9.796	1.05831e-10	503.087
58	1.263422	-0.018845	9.952	6.4476e-11	510.028
59	1.235608	-0.027814	9.420	3.43086e-10	517.172
60	1.224821	-0.010787	10.106	3.94943e-11	524.187
61	1.199536	-0.025285	9.696	1.45173e-10	531.673
62	1.177215	-0.022321	9.450	3.1222e-10	539.091
63	1.134645	-0.042571	7.511	3.29734e-08	546.520
64	1.117609	-0.017036	7.479	3.60776e-08	553.101
65	1.100973	-0.016636	7.453	3.87672e-08	559.781
66	1.078067	-0.022906	6.865	1.9687e-07	566.562
67	1.057165	-0.020902	6.378	7.26829e-07	573.159
68	1.030799	-0.026366	5.346	9.96494e-06	579.618
69	1.030161	-0.000638	6.521	4.98103e-07	585.657
70	1.011858	-0.018303	6.157	1.2952e-06	592.403
71	0.994649	-0.017209	5.843	2.89454e-06	599.071
72	0.975015	-0.019634	5.254	1.24396e-05	605.682
73	0.961698	-0.013317	5.205	1.40043e-05	612.088
74	0.935949	-0.025749	3.923	0.00026028	618.572
75	0.920798	-0.015150	3.574	0.000542372	624.472
76	0.903080	-0.017719	2.925	0.00196984	630.278
77	0.894782	-0.008298	3.174	0.0012157	635.826
78	0.891526	-0.003256	3.945	0.000248289	641.591
79	0.872083	-0.019443	3.061	0.00151648	647.869
80	0.853368	-0.018715	2.175	0.00771831	653.752
81	0.849485	-0.003883	2.810	0.00245248	659.237
82	0.841906	-0.007579	3.071	0.00148649	665.155
83	0.833627	-0.008279	3.258	0.00102782	671.312
84	0.817710	-0.015917	2.586	0.00371535	677.672
85	0.807272	-0.010438	2.476	0.00454181	683.739
86	0.796214	-0.011058	2.272	0.00652631	689.832
87	0.788621	-0.007593	2.445	0.00480246	695.897
88	0.783808	-0.004813	2.945	0.00189592	702.157
89	0.768958	-0.014850	2.260	0.00666429	708.818
90	0.757427	-0.011532	1.917	0.0119524	715.159
91	0.749332	-0.008094	1.961	0.0111027	721.385
92	0.742558	-0.006774	2.160	0.0079212	727.732
93	0.727828	-0.014730	1.351	0.0292275	734.300
94	0.726283	-0.001545	2.167	0.00782693	740.454
95	0.716171	-0.010112	1.911	0.0120734	747.225
96	0.699783	-0.016388	0.795	0.0642662	753.932
97	0.688454	-0.011329	0.270	0.124148	760.010
98	0.683261	-0.005193	0.529	0.0907144	765.835
99	0.674479	-0.008782	0.302	0.119516	771.912
100	0.667651	-0.006828	0.320	0.116961	777.926
101	0.663836	-0.003815	0.751	0.0681355	784.038
102	0.653039	-0.010798	0.207	0.133482	790.532
103	0.640806	-0.012232	-0.589	0.299259	796.746
104	0.636624	-0.004182	-0.275	0.223396	802.502
105	0.632437	-0.004186	0.047	0.159687	808.555
106	0.625065	-0.007372	-0.095	0.185916	814.920
107	0.616242	-0.008823	-0.475	0.270048	821.275
108	0.607699	-0.008543	-0.846	0.370429	827.448
109	0.602389	-0.005310	-0.752	0.34344	833.440
