samples	cluster	frac_cluster	max_frac	analysis_type	K
WN2001	A	0.255908	0.256463	DIVERGENT-MASKED	10
NIC195	A	1e-05	0.306874	DIVERGENT-MASKED	10
NIC522	A	1e-05	0.32942	DIVERGENT-MASKED	10
JU3167	A	1e-05	0.332659	DIVERGENT-MASKED	10
JU3137	A	1e-05	0.347944	DIVERGENT-MASKED	10
JU2811	A	1e-05	0.350398	DIVERGENT-MASKED	10
NIC526	A	1e-05	0.36281	DIVERGENT-MASKED	10
NIC259	A	1e-05	0.365477	DIVERGENT-MASKED	10
JU2906	A	1e-05	0.366027	DIVERGENT-MASKED	10
NIC529	A	1.2e-05	0.373397	DIVERGENT-MASKED	10
JU1400	A	1e-05	0.373869	DIVERGENT-MASKED	10
JU2581	A	0.256727	0.382971	DIVERGENT-MASKED	10
JU561	A	1e-05	0.390011	DIVERGENT-MASKED	10
NIC515	A	1e-05	0.392287	DIVERGENT-MASKED	10
JU1652	A	1e-05	0.400325	DIVERGENT-MASKED	10
QG2075	A	0.400446	0.400446	DIVERGENT-MASKED	10
JU1808	A	0.401482	0.401482	DIVERGENT-MASKED	10
WN2064	A	1e-05	0.421967	DIVERGENT-MASKED	10
XZ2020	A	0.267672	0.425153	DIVERGENT-MASKED	10
JU3144	A	1e-05	0.425843	DIVERGENT-MASKED	10
QG2846	A	0.060815	0.426736	DIVERGENT-MASKED	10
JU323	A	1e-05	0.428053	DIVERGENT-MASKED	10
QX1791	A	0.123455	0.431584	DIVERGENT-MASKED	10
JU258	A	1e-05	0.434344	DIVERGENT-MASKED	10
JU2478	A	0.439424	0.439424	DIVERGENT-MASKED	10
NIC242	A	1e-05	0.444751	DIVERGENT-MASKED	10
JU2879	A	0.306726	0.445839	DIVERGENT-MASKED	10
MY2741	A	0.447986	0.447986	DIVERGENT-MASKED	10
QG536	A	0.113024	0.449232	DIVERGENT-MASKED	10
XZ1516	A	1e-05	0.45337	DIVERGENT-MASKED	10
JU2853	A	1e-05	0.45513	DIVERGENT-MASKED	10
JU2800	A	1e-05	0.45576	DIVERGENT-MASKED	10
JU3125	A	1e-05	0.456873	DIVERGENT-MASKED	10
NIC166	A	1e-05	0.46203	DIVERGENT-MASKED	10
KR314	A	0.319493	0.462717	DIVERGENT-MASKED	10
CX11271	A	0.430597	0.464072	DIVERGENT-MASKED	10
ECA701	A	1e-05	0.466099	DIVERGENT-MASKED	10
JU3127	A	0.053877	0.466142	DIVERGENT-MASKED	10
