samples	cluster	frac_cluster	max_frac	analysis_type	K
ED3017	A	1e-05	0.468483	DIVERGENT-MASKED	10
JU2017	A	0.472773	0.472773	DIVERGENT-MASKED	10
NIC511	A	1e-05	0.47304	DIVERGENT-MASKED	10
WN2002	A	1e-05	0.473386	DIVERGENT-MASKED	10
ED3046	A	1e-05	0.474652	DIVERGENT-MASKED	10
ED3049	A	1e-05	0.482264	DIVERGENT-MASKED	10
JT11398	A	1e-05	0.483068	DIVERGENT-MASKED	10
NIC268	A	0.001055	0.489534	DIVERGENT-MASKED	10
NIC523	A	1e-05	0.494488	DIVERGENT-MASKED	10
CB4854	A	0.120706	0.495275	DIVERGENT-MASKED	10
JU2001	A	1e-05	0.49897	DIVERGENT-MASKED	10
WN2033	A	0.49905	0.50087	DIVERGENT-MASKED	10
JU3224	A	1e-05	0.501022	DIVERGENT-MASKED	10
NIC2	A	1e-05	0.504256	DIVERGENT-MASKED	10
JU2587	A	0.203158	0.506319	DIVERGENT-MASKED	10
CX11285	A	0.511276	0.511276	DIVERGENT-MASKED	10
QG556	A	0.511694	0.511694	DIVERGENT-MASKED	10
JU2841	A	1e-05	0.513031	DIVERGENT-MASKED	10
JU2862	A	0.514414	0.514414	DIVERGENT-MASKED	10
NIC3	A	0.01307	0.517034	DIVERGENT-MASKED	10
MY18	A	0.517522	0.517522	DIVERGENT-MASKED	10
JU1395	A	1e-05	0.517536	DIVERGENT-MASKED	10
EG4347	A	0.105096	0.518911	DIVERGENT-MASKED	10
JU847	A	1e-05	0.52583	DIVERGENT-MASKED	10
JU2593	A	0.077021	0.526694	DIVERGENT-MASKED	10
MY2147	A	1e-05	0.528061	DIVERGENT-MASKED	10
JU751	A	0.163714	0.528917	DIVERGENT-MASKED	10
JU2007	A	1e-05	0.531038	DIVERGENT-MASKED	10
JU1409	A	1e-05	0.531947	DIVERGENT-MASKED	10
QG2825	A	1e-05	0.532073	DIVERGENT-MASKED	10
EG4725	A	1e-05	0.53424	DIVERGENT-MASKED	10
JU2234	A	1e-05	0.534603	DIVERGENT-MASKED	10
NIC255	A	1.2e-05	0.538239	DIVERGENT-MASKED	10
JU2829	A	0.150617	0.538856	DIVERGENT-MASKED	10
JU1440	A	1.7e-05	0.539195	DIVERGENT-MASKED	10
JU3228	A	1e-05	0.540892	DIVERGENT-MASKED	10
JU1491	A	1e-05	0.546574	DIVERGENT-MASKED	10
QG2823	A	1e-05	0.548558	DIVERGENT-MASKED	10
XZ1515	A	0.307152	0.550236	DIVERGENT-MASKED	10
JU2534	A	1e-05	0.550302	DIVERGENT-MASKED	10
CX11307	A	0.555965	0.555965	DIVERGENT-MASKED	10
WN2050	A	1e-05	0.557653	DIVERGENT-MASKED	10
NIC207	A	1e-05	0.565454	DIVERGENT-MASKED	10
JU2907	A	1e-05	0.567482	DIVERGENT-MASKED	10
JU3128	A	1e-05	0.573469	DIVERGENT-MASKED	10
NIC199	A	1e-05	0.574693	DIVERGENT-MASKED	10
QG2875	A	1e-05	0.576	DIVERGENT-MASKED	10
NIC266	A	1e-05	0.576083	DIVERGENT-MASKED	10
EG4349	A	1e-05	0.57993	DIVERGENT-MASKED	10
CB4852	A	1e-05	0.581099	DIVERGENT-MASKED	10
EG4946	A	0.582973	0.582973	DIVERGENT-MASKED	10
AB1	A	1e-05	0.58688	DIVERGENT-MASKED	10
MY16	A	0.113594	0.587698	DIVERGENT-MASKED	10
QG2838	A	0.10228	0.591964	DIVERGENT-MASKED	10
ECA348	A	0.592916	0.592916	DIVERGENT-MASKED	10
JU3134	A	1e-05	0.594773	DIVERGENT-MASKED	10
JU3166	A	1e-05	0.596149	DIVERGENT-MASKED	10
QG2824	A	1e-05	0.597187	DIVERGENT-MASKED	10
NIC1	A	1e-05	0.597455	DIVERGENT-MASKED	10
ECA594	A	0.318033	0.601927	DIVERGENT-MASKED	10
CX11254	A	0.602296	0.602296	DIVERGENT-MASKED	10
XZ1672	A	0.604195	0.604195	DIVERGENT-MASKED	10
JU3141	A	1e-05	0.604725	DIVERGENT-MASKED	10
BRC20263	A	0.034806	0.606962	DIVERGENT-MASKED	10
JU1530	A	1e-05	0.611521	DIVERGENT-MASKED	10
JU310	A	1e-05	0.612053	DIVERGENT-MASKED	10
QW947	A	1e-05	0.612499	DIVERGENT-MASKED	10
NIC231	A	1.1e-05	0.612657	DIVERGENT-MASKED	10
MY2453	A	1e-05	0.613271	DIVERGENT-MASKED	10
NIC1049	A	1e-05	0.613307	DIVERGENT-MASKED	10
MY2535	A	1e-05	0.614276	DIVERGENT-MASKED	10
MY2212	A	0.064207	0.615512	DIVERGENT-MASKED	10
JU346	A	1e-05	0.616487	DIVERGENT-MASKED	10
MY795	A	0.617581	0.617581	DIVERGENT-MASKED	10
ECA593	A	0.072535	0.618672	DIVERGENT-MASKED	10
PS2025	A	0.620133	0.620133	DIVERGENT-MASKED	10
PX179	A	1e-05	0.622428	DIVERGENT-MASKED	10
CX11276	A	0.625107	0.625107	DIVERGENT-MASKED	10
ECA923	A	0.629889	0.629889	DIVERGENT-MASKED	10
CB4932	A	1e-05	0.630948	DIVERGENT-MASKED	10
QX1792	A	1e-05	0.641581	DIVERGENT-MASKED	10
JU360	A	0.071044	0.642387	DIVERGENT-MASKED	10
JU2464	A	1e-05	0.642733	DIVERGENT-MASKED	10
EG4724	A	1e-05	0.645117	DIVERGENT-MASKED	10
JU2576	A	0.015584	0.654705	DIVERGENT-MASKED	10
JU642	A	1e-05	0.656839	DIVERGENT-MASKED	10
JU782	A	1e-05	0.65801	DIVERGENT-MASKED	10
JU2586	A	1e-05	0.66606	DIVERGENT-MASKED	10
MY2573	A	1e-05	0.667062	DIVERGENT-MASKED	10
JU2838	A	0.051951	0.670018	DIVERGENT-MASKED	10
MY920	A	1e-05	0.675118	DIVERGENT-MASKED	10
JU2878	A	0.190309	0.675232	DIVERGENT-MASKED	10
ED3011	A	0.676506	0.676506	DIVERGENT-MASKED	10
JU2619	A	0.178978	0.677421	DIVERGENT-MASKED	10
QG2835	A	1e-05	0.678365	DIVERGENT-MASKED	10
JU1212	A	1e-05	0.684143	DIVERGENT-MASKED	10
ECA592	A	0.31313	0.68679	DIVERGENT-MASKED	10
NIC527	A	1e-05	0.69125	DIVERGENT-MASKED	10
JU1088	A	1e-05	0.692561	DIVERGENT-MASKED	10
NIC277	A	1e-05	0.692964	DIVERGENT-MASKED	10
JU440	A	1e-05	0.700255	DIVERGENT-MASKED	10
JU778	A	1e-05	0.70072	DIVERGENT-MASKED	10
JU830	A	0.150897	0.703425	DIVERGENT-MASKED	10
NIC272	A	1e-05	0.705064	DIVERGENT-MASKED	10
JU3282	A	1e-05	0.705912	DIVERGENT-MASKED	10
NIC260	A	1e-05	0.708847	DIVERGENT-MASKED	10
DL200	A	0.008693	0.71001	DIVERGENT-MASKED	10
MY679	A	1e-05	0.713772	DIVERGENT-MASKED	10
JU1896	A	1e-05	0.715566	DIVERGENT-MASKED	10
NIC251	A	1e-05	0.71559	DIVERGENT-MASKED	10
JU2572	A	1e-05	0.72029	DIVERGENT-MASKED	10
XZ2018	A	1e-05	0.720467	DIVERGENT-MASKED	10
JU1792	A	1e-05	0.72362	DIVERGENT-MASKED	10
MY1	A	1e-05	0.725931	DIVERGENT-MASKED	10
JU2578	A	1e-05	0.733851	DIVERGENT-MASKED	10
ED3048	A	1e-05	0.734159	DIVERGENT-MASKED	10
CB4853	A	0.734365	0.734365	DIVERGENT-MASKED	10
JU1581	A	1e-05	0.736373	DIVERGENT-MASKED	10
JU3169	A	1e-05	0.741293	DIVERGENT-MASKED	10
MY772	A	1e-05	0.743562	DIVERGENT-MASKED	10
NIC269	A	1e-05	0.745292	DIVERGENT-MASKED	10
MY2530	A	1e-05	0.750211	DIVERGENT-MASKED	10
NIC236	A	1e-05	0.75211	DIVERGENT-MASKED	10
JU774	A	1e-05	0.753492	DIVERGENT-MASKED	10
MY10	A	1e-05	0.754556	DIVERGENT-MASKED	10
JU2513	A	1e-05	0.755697	DIVERGENT-MASKED	10
QG2813	A	0.055385	0.757041	DIVERGENT-MASKED	10
XZ1734	A	1e-05	0.759785	DIVERGENT-MASKED	10
QG2828	A	1e-05	0.761491	DIVERGENT-MASKED	10
QG2877	A	1e-05	0.761771	DIVERGENT-MASKED	10
JU3225	A	1e-05	0.767261	DIVERGENT-MASKED	10
QG2811	A	0.008503	0.773389	DIVERGENT-MASKED	10
NIC1119	A	1e-05	0.774728	DIVERGENT-MASKED	10
JU1246	A	1e-05	0.776654	DIVERGENT-MASKED	10
JU1543	A	1e-05	0.777725	DIVERGENT-MASKED	10
ECA928	A	0.779483	0.779483	DIVERGENT-MASKED	10
JU2141	A	1e-05	0.781814	DIVERGENT-MASKED	10
DL226	A	0.783858	0.783858	DIVERGENT-MASKED	10
ED3077	A	1e-05	0.784124	DIVERGENT-MASKED	10
JU2519	A	1e-05	0.790988	DIVERGENT-MASKED	10
JU1200	A	1e-05	0.792134	DIVERGENT-MASKED	10
JU2131	A	1e-05	0.793502	DIVERGENT-MASKED	10
JU2106	A	1e-05	0.795877	DIVERGENT-MASKED	10
JU397	A	1e-05	0.798099	DIVERGENT-MASKED	10
ED3052	A	1e-05	0.805018	DIVERGENT-MASKED	10
PB303	A	0.193064	0.806856	DIVERGENT-MASKED	10
QG557	A	0.809561	0.809561	DIVERGENT-MASKED	10
NIC528	A	1e-05	0.815953	DIVERGENT-MASKED	10
XZ1735	A	1e-05	0.816228	DIVERGENT-MASKED	10
NIC256	A	1e-05	0.816352	DIVERGENT-MASKED	10
ED3012	A	1e-05	0.82165	DIVERGENT-MASKED	10
JU2566	A	1e-05	0.822777	DIVERGENT-MASKED	10
JU393	A	1e-05	0.828489	DIVERGENT-MASKED	10
JU2592	A	1e-05	0.836596	DIVERGENT-MASKED	10
QG2827	A	1e-05	0.837643	DIVERGENT-MASKED	10
QG2836	A	0.002773	0.837844	DIVERGENT-MASKED	10
JU1666	A	1e-05	0.848106	DIVERGENT-MASKED	10
XZ1756	A	0.854359	0.854359	DIVERGENT-MASKED	10
QG2841	A	1e-05	0.857142	DIVERGENT-MASKED	10
NIC1107	A	1e-05	0.863307	DIVERGENT-MASKED	10
JU1172	A	0.865944	0.865944	DIVERGENT-MASKED	10
GXW1	A	1e-05	0.86628	DIVERGENT-MASKED	10
ED3073	A	1e-05	0.868878	DIVERGENT-MASKED	10
JU3280	A	1e-05	0.872284	DIVERGENT-MASKED	10
NIC252	A	1e-05	0.87407	DIVERGENT-MASKED	10
JU1586	A	1e-05	0.880072	DIVERGENT-MASKED	10
ECA372	A	0.115507	0.884413	DIVERGENT-MASKED	10
JU2016	A	0.884747	0.884747	DIVERGENT-MASKED	10
ED3005	A	0.886458	0.886458	DIVERGENT-MASKED	10
PB306	A	0.888177	0.888177	DIVERGENT-MASKED	10
CX11292	A	0.890361	0.890361	DIVERGENT-MASKED	10
ECA743	A	1e-05	0.894664	DIVERGENT-MASKED	10
QX1793	A	1e-05	0.897397	DIVERGENT-MASKED	10
ECA640	A	0.899074	0.899074	DIVERGENT-MASKED	10
QG2855	A	1e-05	0.899466	DIVERGENT-MASKED	10
CB4855	A	0.900031	0.900031	DIVERGENT-MASKED	10
QG2873	A	1e-05	0.90309	DIVERGENT-MASKED	10
QG2874	A	1e-05	0.903407	DIVERGENT-MASKED	10
JU3291	A	1e-05	0.90481	DIVERGENT-MASKED	10
ECA738	A	0.093577	0.906343	DIVERGENT-MASKED	10
ED3040	A	1e-05	0.907075	DIVERGENT-MASKED	10
CX11262	A	0.908574	0.908574	DIVERGENT-MASKED	10
ECA703	A	1e-05	0.910251	DIVERGENT-MASKED	10
JU1934	A	1e-05	0.91213	DIVERGENT-MASKED	10
JU775	A	1.1e-05	0.91309	DIVERGENT-MASKED	10
CX11315	A	0.914327	0.914327	DIVERGENT-MASKED	10
MY518	A	0.916696	0.916696	DIVERGENT-MASKED	10
JU2866	A	0.919764	0.919764	DIVERGENT-MASKED	10
QG2837	A	1e-05	0.926261	DIVERGENT-MASKED	10
QG2854	A	1e-05	0.927598	DIVERGENT-MASKED	10
JU367	A	1e-05	0.927945	DIVERGENT-MASKED	10
JU311	A	1e-05	0.932349	DIVERGENT-MASKED	10
QX1233	A	0.932623	0.932623	DIVERGENT-MASKED	10
QG2857	A	1e-05	0.933513	DIVERGENT-MASKED	10
ECA189	A	0.057461	0.934453	DIVERGENT-MASKED	10
QX1794	A	0.012873	0.935835	DIVERGENT-MASKED	10
MY2693	A	0.063185	0.936732	DIVERGENT-MASKED	10
XZ1513	A	0.06256	0.93736	DIVERGENT-MASKED	10
NIC271	A	1e-05	0.937799	DIVERGENT-MASKED	10
NIC267	A	1e-05	0.939143	DIVERGENT-MASKED	10
ECA807	A	1e-05	0.942272	DIVERGENT-MASKED	10
NIC274	A	1e-05	0.95323	DIVERGENT-MASKED	10
CX11264	A	0.954979	0.954979	DIVERGENT-MASKED	10
ECA930	A	0.959519	0.959519	DIVERGENT-MASKED	10
JU1580	A	1e-05	0.962491	DIVERGENT-MASKED	10
LKC34	A	1e-05	0.970672	DIVERGENT-MASKED	10
JU1793	A	1e-05	0.980912	DIVERGENT-MASKED	10
JU3135	A	1e-05	0.987558	DIVERGENT-MASKED	10
JU2575	A	1e-05	0.988359	DIVERGENT-MASKED	10
WN2066	A	1e-05	0.99184	DIVERGENT-MASKED	10
NIC275	A	1e-05	0.997389	DIVERGENT-MASKED	10
ECA396	A	1.8e-05	0.999899	DIVERGENT-MASKED	10
ECA778	A	1.9e-05	0.999901	DIVERGENT-MASKED	10
ECA742	A	1.5e-05	0.999901	DIVERGENT-MASKED	10
QG2850	A	1e-05	0.999902	DIVERGENT-MASKED	10
JU2250	A	1e-05	0.999902	DIVERGENT-MASKED	10
BRC20067	A	1e-05	0.999903	DIVERGENT-MASKED	10
NIC514	A	1e-05	0.999905	DIVERGENT-MASKED	10
ECA732	A	1e-05	0.999905	DIVERGENT-MASKED	10
CB4856	A	1e-05	0.999905	DIVERGENT-MASKED	10
JU792	A	1e-05	0.999906	DIVERGENT-MASKED	10
CB4851	A	1e-05	0.999906	DIVERGENT-MASKED	10
ECA706	A	1e-05	0.999906	DIVERGENT-MASKED	10
LSJ1	A	1e-05	0.999908	DIVERGENT-MASKED	10
CX11314	A	0.999908	0.999908	DIVERGENT-MASKED	10
ECA723	A	1e-05	0.999908	DIVERGENT-MASKED	10
ECA363	A	1.2e-05	0.999908	DIVERGENT-MASKED	10
JU3140	A	1e-05	0.999909	DIVERGENT-MASKED	10
NIC262	A	1.1e-05	0.999909	DIVERGENT-MASKED	10
ECA733	A	1e-05	0.999909	DIVERGENT-MASKED	10
ECA741	A	1e-05	0.999909	DIVERGENT-MASKED	10
JU1249	A	1e-05	0.999909	DIVERGENT-MASKED	10
ECA722	A	1.1e-05	0.999909	DIVERGENT-MASKED	10
ECA740	A	1e-05	0.999909	DIVERGENT-MASKED	10
ECA812	A	1e-05	0.999909	DIVERGENT-MASKED	10
QG2932	A	1e-05	0.999909	DIVERGENT-MASKED	10
ECA705	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU2825	A	1e-05	0.99991	DIVERGENT-MASKED	10
QG2843	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU1213	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA744	A	1e-05	0.99991	DIVERGENT-MASKED	10
QG2832	A	1e-05	0.99991	DIVERGENT-MASKED	10
QG2818	A	1e-05	0.99991	DIVERGENT-MASKED	10
NIC258	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU2565	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA777	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA712	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA369	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU406	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU3132	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA191	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA768	A	1e-05	0.99991	DIVERGENT-MASKED	10
QX1211	A	1e-05	0.99991	DIVERGENT-MASKED	10
NIC276	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA252	A	1e-05	0.99991	DIVERGENT-MASKED	10
CB4858	A	0.99991	0.99991	DIVERGENT-MASKED	10
JU2610	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU3226	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA349	A	0.99991	0.99991	DIVERGENT-MASKED	10
DL238	A	1e-05	0.99991	DIVERGENT-MASKED	10
MY23	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA36	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU1568	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA746	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA730	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU2257	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU2570	A	1e-05	0.99991	DIVERGENT-MASKED	10
XZ2019	A	1e-05	0.99991	DIVERGENT-MASKED	10
WN2063	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA760	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU2466	A	1e-05	0.99991	DIVERGENT-MASKED	10
NIC261	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU2522	A	1e-05	0.99991	DIVERGENT-MASKED	10
MY2585	A	1e-05	0.99991	DIVERGENT-MASKED	10
NIC501	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU1242	A	1e-05	0.99991	DIVERGENT-MASKED	10
N2	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU2526	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA347	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA710	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA745	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU2316	A	1e-05	0.99991	DIVERGENT-MASKED	10
CB4857	A	0.99991	0.99991	DIVERGENT-MASKED	10
JU2600	A	1e-05	0.99991	DIVERGENT-MASKED	10
MY2713	A	1e-05	0.99991	DIVERGENT-MASKED	10
ECA724	A	1e-05	0.99991	DIVERGENT-MASKED	10
XZ1514	A	1e-05	0.99991	DIVERGENT-MASKED	10
QX1212	A	0.99991	0.99991	DIVERGENT-MASKED	10
NIC265	A	1e-05	0.99991	DIVERGENT-MASKED	10
NIC513	A	1e-05	0.99991	DIVERGENT-MASKED	10
JU394	A	1e-05	0.99991	DIVERGENT-MASKED	10
RC301	A	1e-05	0.99991	DIVERGENT-MASKED	10
WN2001	B	1e-05	0.256463	DIVERGENT-MASKED	10
NIC195	B	1e-05	0.306874	DIVERGENT-MASKED	10
NIC522	B	1e-05	0.32942	DIVERGENT-MASKED	10
JU3167	B	1e-05	0.332659	DIVERGENT-MASKED	10
JU3137	B	1e-05	0.347944	DIVERGENT-MASKED	10
JU2811	B	1e-05	0.350398	DIVERGENT-MASKED	10
NIC526	B	1e-05	0.36281	DIVERGENT-MASKED	10
NIC259	B	1e-05	0.365477	DIVERGENT-MASKED	10
JU2906	B	1e-05	0.366027	DIVERGENT-MASKED	10
NIC529	B	1e-05	0.373397	DIVERGENT-MASKED	10
JU1400	B	1e-05	0.373869	DIVERGENT-MASKED	10
JU2581	B	1e-05	0.382971	DIVERGENT-MASKED	10
JU561	B	1e-05	0.390011	DIVERGENT-MASKED	10
NIC515	B	1e-05	0.392287	DIVERGENT-MASKED	10
JU1652	B	1e-05	0.400325	DIVERGENT-MASKED	10
QG2075	B	1e-05	0.400446	DIVERGENT-MASKED	10
JU1808	B	1.4e-05	0.401482	DIVERGENT-MASKED	10
WN2064	B	1e-05	0.421967	DIVERGENT-MASKED	10
XZ2020	B	1e-05	0.425153	DIVERGENT-MASKED	10
JU3144	B	1e-05	0.425843	DIVERGENT-MASKED	10
QG2846	B	1e-05	0.426736	DIVERGENT-MASKED	10
JU323	B	1e-05	0.428053	DIVERGENT-MASKED	10
QX1791	B	1.7e-05	0.431584	DIVERGENT-MASKED	10
JU258	B	1e-05	0.434344	DIVERGENT-MASKED	10
JU2478	B	1e-05	0.439424	DIVERGENT-MASKED	10
NIC242	B	1e-05	0.444751	DIVERGENT-MASKED	10
JU2879	B	1e-05	0.445839	DIVERGENT-MASKED	10
MY2741	B	1e-05	0.447986	DIVERGENT-MASKED	10
QG536	B	1e-05	0.449232	DIVERGENT-MASKED	10
XZ1516	B	0.453167	0.45337	DIVERGENT-MASKED	10
JU2853	B	1e-05	0.45513	DIVERGENT-MASKED	10
JU2800	B	1e-05	0.45576	DIVERGENT-MASKED	10
JU3125	B	1e-05	0.456873	DIVERGENT-MASKED	10
NIC166	B	1e-05	0.46203	DIVERGENT-MASKED	10
KR314	B	1e-05	0.462717	DIVERGENT-MASKED	10
CX11271	B	1.2e-05	0.464072	DIVERGENT-MASKED	10
ECA701	B	0.466099	0.466099	DIVERGENT-MASKED	10
JU3127	B	1.1e-05	0.466142	DIVERGENT-MASKED	10
ED3017	B	1e-05	0.468483	DIVERGENT-MASKED	10
JU2017	B	1e-05	0.472773	DIVERGENT-MASKED	10
NIC511	B	1e-05	0.47304	DIVERGENT-MASKED	10
WN2002	B	1e-05	0.473386	DIVERGENT-MASKED	10
ED3046	B	1e-05	0.474652	DIVERGENT-MASKED	10
ED3049	B	1e-05	0.482264	DIVERGENT-MASKED	10
JT11398	B	1e-05	0.483068	DIVERGENT-MASKED	10
NIC268	B	1e-05	0.489534	DIVERGENT-MASKED	10
NIC523	B	1e-05	0.494488	DIVERGENT-MASKED	10
CB4854	B	1e-05	0.495275	DIVERGENT-MASKED	10
JU2001	B	1e-05	0.49897	DIVERGENT-MASKED	10
WN2033	B	1e-05	0.50087	DIVERGENT-MASKED	10
JU3224	B	1e-05	0.501022	DIVERGENT-MASKED	10
NIC2	B	1e-05	0.504256	DIVERGENT-MASKED	10
JU2587	B	1e-05	0.506319	DIVERGENT-MASKED	10
CX11285	B	1e-05	0.511276	DIVERGENT-MASKED	10
QG556	B	1e-05	0.511694	DIVERGENT-MASKED	10
JU2841	B	1e-05	0.513031	DIVERGENT-MASKED	10
JU2862	B	1e-05	0.514414	DIVERGENT-MASKED	10
NIC3	B	1e-05	0.517034	DIVERGENT-MASKED	10
MY18	B	1e-05	0.517522	DIVERGENT-MASKED	10
JU1395	B	1e-05	0.517536	DIVERGENT-MASKED	10
EG4347	B	1e-05	0.518911	DIVERGENT-MASKED	10
JU847	B	1e-05	0.52583	DIVERGENT-MASKED	10
JU2593	B	1e-05	0.526694	DIVERGENT-MASKED	10
MY2147	B	1e-05	0.528061	DIVERGENT-MASKED	10
JU751	B	1e-05	0.528917	DIVERGENT-MASKED	10
JU2007	B	1e-05	0.531038	DIVERGENT-MASKED	10
JU1409	B	1e-05	0.531947	DIVERGENT-MASKED	10
QG2825	B	1e-05	0.532073	DIVERGENT-MASKED	10
EG4725	B	1e-05	0.53424	DIVERGENT-MASKED	10
JU2234	B	1e-05	0.534603	DIVERGENT-MASKED	10
NIC255	B	1e-05	0.538239	DIVERGENT-MASKED	10
JU2829	B	1e-05	0.538856	DIVERGENT-MASKED	10
JU1440	B	1e-05	0.539195	DIVERGENT-MASKED	10
JU3228	B	1e-05	0.540892	DIVERGENT-MASKED	10
JU1491	B	1e-05	0.546574	DIVERGENT-MASKED	10
QG2823	B	1e-05	0.548558	DIVERGENT-MASKED	10
XZ1515	B	0.142542	0.550236	DIVERGENT-MASKED	10
JU2534	B	1e-05	0.550302	DIVERGENT-MASKED	10
CX11307	B	1e-05	0.555965	DIVERGENT-MASKED	10
WN2050	B	1e-05	0.557653	DIVERGENT-MASKED	10
NIC207	B	1e-05	0.565454	DIVERGENT-MASKED	10
JU2907	B	1e-05	0.567482	DIVERGENT-MASKED	10
JU3128	B	1e-05	0.573469	DIVERGENT-MASKED	10
NIC199	B	1e-05	0.574693	DIVERGENT-MASKED	10
QG2875	B	1e-05	0.576	DIVERGENT-MASKED	10
NIC266	B	2e-05	0.576083	DIVERGENT-MASKED	10
EG4349	B	1e-05	0.57993	DIVERGENT-MASKED	10
CB4852	B	1e-05	0.581099	DIVERGENT-MASKED	10
EG4946	B	1e-05	0.582973	DIVERGENT-MASKED	10
AB1	B	1e-05	0.58688	DIVERGENT-MASKED	10
MY16	B	1e-05	0.587698	DIVERGENT-MASKED	10
QG2838	B	1e-05	0.591964	DIVERGENT-MASKED	10
ECA348	B	2e-05	0.592916	DIVERGENT-MASKED	10
JU3134	B	1e-05	0.594773	DIVERGENT-MASKED	10
JU3166	B	1e-05	0.596149	DIVERGENT-MASKED	10
QG2824	B	1e-05	0.597187	DIVERGENT-MASKED	10
NIC1	B	1e-05	0.597455	DIVERGENT-MASKED	10
ECA594	B	1.2e-05	0.601927	DIVERGENT-MASKED	10
CX11254	B	1e-05	0.602296	DIVERGENT-MASKED	10
XZ1672	B	1e-05	0.604195	DIVERGENT-MASKED	10
JU3141	B	1e-05	0.604725	DIVERGENT-MASKED	10
BRC20263	B	1e-05	0.606962	DIVERGENT-MASKED	10
JU1530	B	1e-05	0.611521	DIVERGENT-MASKED	10
JU310	B	1e-05	0.612053	DIVERGENT-MASKED	10
QW947	B	1e-05	0.612499	DIVERGENT-MASKED	10
NIC231	B	1e-05	0.612657	DIVERGENT-MASKED	10
