samples	cluster	frac_cluster	max_frac	analysis_type	K
JU1200	A	0.586216	0.586216	DIVERGENT-MASKED_Complete	5
JU323	A	0.587405	0.587405	DIVERGENT-MASKED_Complete	5
JU1440	A	0.4121	0.58787	DIVERGENT-MASKED_Complete	5
XZ1515	A	1e-05	0.589129	DIVERGENT-MASKED_Complete	5
JU2141	A	0.590654	0.590654	DIVERGENT-MASKED_Complete	5
MY18	A	0.368039	0.59141	DIVERGENT-MASKED_Complete	5
PB306	A	1e-05	0.592198	DIVERGENT-MASKED_Complete	5
JU3134	A	0.395301	0.604669	DIVERGENT-MASKED_Complete	5
PX179	A	0.392173	0.607791	DIVERGENT-MASKED_Complete	5
ECA928	A	1e-05	0.609885	DIVERGENT-MASKED_Complete	5
JU2841	A	0.014105	0.611362	DIVERGENT-MASKED_Complete	5
JU2593	A	0.164353	0.611438	DIVERGENT-MASKED_Complete	5
NIC252	A	1.5e-05	0.614265	DIVERGENT-MASKED_Complete	5
QG557	A	1e-05	0.614709	DIVERGENT-MASKED_Complete	5
JU2866	A	0.026446	0.617519	DIVERGENT-MASKED_Complete	5
QG556	A	1e-05	0.617915	DIVERGENT-MASKED_Complete	5
JU2017	A	1e-05	0.618838	DIVERGENT-MASKED_Complete	5
NIC236	A	1e-05	0.622517	DIVERGENT-MASKED_Complete	5
MY2212	A	0.377074	0.622896	DIVERGENT-MASKED_Complete	5
JU2001	A	0.213015	0.62887	DIVERGENT-MASKED_Complete	5
JU2534	A	0.629369	0.629369	DIVERGENT-MASKED_Complete	5
EG4347	A	0.369434	0.630536	DIVERGENT-MASKED_Complete	5
JU1808	A	0.634331	0.634331	DIVERGENT-MASKED_Complete	5
MY16	A	0.364614	0.635356	DIVERGENT-MASKED_Complete	5
JU360	A	0.185033	0.636177	DIVERGENT-MASKED_Complete	5
ED3017	A	0.636296	0.636296	DIVERGENT-MASKED_Complete	5
WN2063	A	1e-05	0.637497	DIVERGENT-MASKED_Complete	5
NIC260	A	1e-05	0.647168	DIVERGENT-MASKED_Complete	5
XZ1735	A	1e-05	0.647249	DIVERGENT-MASKED_Complete	5
ED3012	A	0.647397	0.647397	DIVERGENT-MASKED_Complete	5
NIC523	A	1e-05	0.649566	DIVERGENT-MASKED_Complete	5
JU2610	A	0.348485	0.651485	DIVERGENT-MASKED_Complete	5
ECA349	A	1e-05	0.651598	DIVERGENT-MASKED_Complete	5
ECA923	A	1e-05	0.652704	DIVERGENT-MASKED_Complete	5
NIC256	A	1e-05	0.653142	DIVERGENT-MASKED_Complete	5
JU2131	A	0.346383	0.653582	DIVERGENT-MASKED_Complete	5
JU2600	A	0.344937	0.655033	DIVERGENT-MASKED_Complete	5
JU2862	A	0.153312	0.655262	DIVERGENT-MASKED_Complete	5
JU3128	A	0.659279	0.659279	DIVERGENT-MASKED_Complete	5
JU2581	A	1e-05	0.659516	DIVERGENT-MASKED_Complete	5
NIC251	A	0.066163	0.660816	DIVERGENT-MASKED_Complete	5
NIC526	A	0.12169	0.663768	DIVERGENT-MASKED_Complete	5
MY10	A	0.119465	0.670249	DIVERGENT-MASKED_Complete	5
ECA348	A	1e-05	0.670862	DIVERGENT-MASKED_Complete	5
NIC3	A	0.671994	0.671994	DIVERGENT-MASKED_Complete	5
JU3127	A	0.184244	0.673133	DIVERGENT-MASKED_Complete	5
NIC267	A	1e-05	0.674062	DIVERGENT-MASKED_Complete	5
JU2234	A	0.674401	0.674401	DIVERGENT-MASKED_Complete	5
JU346	A	0.675433	0.675433	DIVERGENT-MASKED_Complete	5
JU2570	A	0.324238	0.675732	DIVERGENT-MASKED_Complete	5
JU2007	A	1e-05	0.676137	DIVERGENT-MASKED_Complete	5
JU2829	A	1e-05	0.67783	DIVERGENT-MASKED_Complete	5
JU3228	A	0.066544	0.678096	DIVERGENT-MASKED_Complete	5
JU1666	A	0.321333	0.678637	DIVERGENT-MASKED_Complete	5
JU2250	A	0.321325	0.678645	DIVERGENT-MASKED_Complete	5
CX11254	A	1e-05	0.678682	DIVERGENT-MASKED_Complete	5
NIC272	A	1e-05	0.679076	DIVERGENT-MASKED_Complete	5
NIC271	A	1e-05	0.680032	DIVERGENT-MASKED_Complete	5
CX11285	A	1e-05	0.680712	DIVERGENT-MASKED_Complete	5
JU792	A	0.31859	0.68138	DIVERGENT-MASKED_Complete	5
NIC514	A	1e-05	0.683573	DIVERGENT-MASKED_Complete	5
JU3140	A	0.315476	0.684494	DIVERGENT-MASKED_Complete	5
XZ2018	A	0.313734	0.686236	DIVERGENT-MASKED_Complete	5
NIC207	A	0.312142	0.687828	DIVERGENT-MASKED_Complete	5
MY920	A	0.310925	0.689045	DIVERGENT-MASKED_Complete	5
JU3144	A	0.075793	0.689347	DIVERGENT-MASKED_Complete	5
QG2836	A	1e-05	0.696669	DIVERGENT-MASKED_Complete	5
NIC515	A	1e-05	0.699773	DIVERGENT-MASKED_Complete	5
QG2075	A	1e-05	0.700099	DIVERGENT-MASKED_Complete	5
EG4349	A	1e-05	0.705633	DIVERGENT-MASKED_Complete	5
XZ1756	A	0.057862	0.706104	DIVERGENT-MASKED_Complete	5
NIC511	A	0.707852	0.707852	DIVERGENT-MASKED_Complete	5
QG2835	A	1e-05	0.716543	DIVERGENT-MASKED_Complete	5
MY2741	A	0.282886	0.717084	DIVERGENT-MASKED_Complete	5
JU847	A	0.721527	0.721527	DIVERGENT-MASKED_Complete	5
LKC34	A	1e-05	0.728281	DIVERGENT-MASKED_Complete	5
JU393	A	0.739238	0.739238	DIVERGENT-MASKED_Complete	5
JU3280	A	1e-05	0.740541	DIVERGENT-MASKED_Complete	5
CB4857	A	1e-05	0.741691	DIVERGENT-MASKED_Complete	5
NIC242	A	0.744336	0.744336	DIVERGENT-MASKED_Complete	5
JU1896	A	0.744681	0.744681	DIVERGENT-MASKED_Complete	5
QG2877	A	1e-05	0.74509	DIVERGENT-MASKED_Complete	5
QX1212	A	1e-05	0.746096	DIVERGENT-MASKED_Complete	5
QG2857	A	1e-05	0.747106	DIVERGENT-MASKED_Complete	5
JU3125	A	0.152519	0.747744	DIVERGENT-MASKED_Complete	5
MY2535	A	0.248122	0.751848	DIVERGENT-MASKED_Complete	5
DL238	A	1e-05	0.752144	DIVERGENT-MASKED_Complete	5
NIC262	A	1e-05	0.754121	DIVERGENT-MASKED_Complete	5
QG2855	A	1e-05	0.755403	DIVERGENT-MASKED_Complete	5
JU2106	A	0.236604	0.763366	DIVERGENT-MASKED_Complete	5
JU2316	A	0.104747	0.769003	DIVERGENT-MASKED_Complete	5
QG2827	A	1e-05	0.776879	DIVERGENT-MASKED_Complete	5
JU751	A	0.087491	0.777459	DIVERGENT-MASKED_Complete	5
QG2854	A	1e-05	0.777537	DIVERGENT-MASKED_Complete	5
MY2453	A	0.778262	0.778262	DIVERGENT-MASKED_Complete	5
JU1409	A	0.138322	0.778646	DIVERGENT-MASKED_Complete	5
JU2513	A	0.21437	0.7856	DIVERGENT-MASKED_Complete	5
CX11314	A	1e-05	0.787268	DIVERGENT-MASKED_Complete	5
WN2033	A	0.105433	0.790068	DIVERGENT-MASKED_Complete	5
JU774	A	1e-05	0.797432	DIVERGENT-MASKED_Complete	5
NIC513	A	1e-05	0.798057	DIVERGENT-MASKED_Complete	5
ECA592	A	0.004284	0.800391	DIVERGENT-MASKED_Complete	5
ED3052	A	1e-05	0.802432	DIVERGENT-MASKED_Complete	5
DL226	A	1e-05	0.803656	DIVERGENT-MASKED_Complete	5
CB4853	A	0.008551	0.806889	DIVERGENT-MASKED_Complete	5
ECA640	A	1e-05	0.80764	DIVERGENT-MASKED_Complete	5
CX11315	A	1e-05	0.807735	DIVERGENT-MASKED_Complete	5
CX11276	A	0.132412	0.814829	DIVERGENT-MASKED_Complete	5
ECA594	A	1e-05	0.815214	DIVERGENT-MASKED_Complete	5
JU258	A	0.133631	0.818006	DIVERGENT-MASKED_Complete	5
JU3224	A	1e-05	0.820047	DIVERGENT-MASKED_Complete	5
JU2464	A	1e-05	0.820545	DIVERGENT-MASKED_Complete	5
NIC199	A	0.155324	0.820556	DIVERGENT-MASKED_Complete	5
JU2587	A	0.110972	0.820691	DIVERGENT-MASKED_Complete	5
JU830	A	0.118048	0.823089	DIVERGENT-MASKED_Complete	5
NIC501	A	0.174224	0.825746	DIVERGENT-MASKED_Complete	5
JU1580	A	0.172029	0.827941	DIVERGENT-MASKED_Complete	5
NIC528	A	0.170624	0.829346	DIVERGENT-MASKED_Complete	5
XZ1734	A	1e-05	0.831393	DIVERGENT-MASKED_Complete	5
QG2828	A	1e-05	0.832292	DIVERGENT-MASKED_Complete	5
QX1233	A	1e-05	0.838504	DIVERGENT-MASKED_Complete	5
JU310	A	0.843507	0.843507	DIVERGENT-MASKED_Complete	5
JU1530	A	0.846154	0.846154	DIVERGENT-MASKED_Complete	5
NIC277	A	0.852054	0.852054	DIVERGENT-MASKED_Complete	5
QX1794	A	0.11298	0.853572	DIVERGENT-MASKED_Complete	5
MY772	A	0.853762	0.853762	DIVERGENT-MASKED_Complete	5
NIC265	A	0.063516	0.854915	DIVERGENT-MASKED_Complete	5
ECA372	A	1e-05	0.855122	DIVERGENT-MASKED_Complete	5
JU1586	A	0.855718	0.855718	DIVERGENT-MASKED_Complete	5
JU3225	A	0.143823	0.856145	DIVERGENT-MASKED_Complete	5
MY1	A	1e-05	0.860303	DIVERGENT-MASKED_Complete	5
ECA703	A	1e-05	0.863478	DIVERGENT-MASKED_Complete	5
JU2906	A	0.863999	0.863999	DIVERGENT-MASKED_Complete	5
ECA189	A	1e-05	0.8693	DIVERGENT-MASKED_Complete	5
BRC20263	A	1e-05	0.870276	DIVERGENT-MASKED_Complete	5
CB4855	A	1e-05	0.872934	DIVERGENT-MASKED_Complete	5
ED3046	A	0.122753	0.877217	DIVERGENT-MASKED_Complete	5
QG2873	A	1e-05	0.877284	DIVERGENT-MASKED_Complete	5
QG2874	A	1e-05	0.878257	DIVERGENT-MASKED_Complete	5
QG2838	A	1e-05	0.879049	DIVERGENT-MASKED_Complete	5
JU2592	A	0.879723	0.879723	DIVERGENT-MASKED_Complete	5
ED3049	A	0.120183	0.879787	DIVERGENT-MASKED_Complete	5
NIC261	A	1e-05	0.88036	DIVERGENT-MASKED_Complete	5
JU2853	A	0.11911	0.88086	DIVERGENT-MASKED_Complete	5
QX1793	A	1e-05	0.882426	DIVERGENT-MASKED_Complete	5
NIC1119	A	1e-05	0.891064	DIVERGENT-MASKED_Complete	5
QG2813	A	0.03704	0.891148	DIVERGENT-MASKED_Complete	5
CB4854	A	0.050604	0.891594	DIVERGENT-MASKED_Complete	5
ECA724	A	1e-05	0.892042	DIVERGENT-MASKED_Complete	5
CB4856	A	1e-05	0.892188	DIVERGENT-MASKED_Complete	5
JU2526	A	1e-05	0.897211	DIVERGENT-MASKED_Complete	5
QG2811	A	0.908893	0.908893	DIVERGENT-MASKED_Complete	5
JU2519	A	1e-05	0.916672	DIVERGENT-MASKED_Complete	5
NIC231	A	1e-05	0.917927	DIVERGENT-MASKED_Complete	5
JU1212	A	0.920667	0.920667	DIVERGENT-MASKED_Complete	5
JU3166	A	1e-05	0.922827	DIVERGENT-MASKED_Complete	5
ECA743	A	0.075955	0.924015	DIVERGENT-MASKED_Complete	5
XZ2019	A	1e-05	0.928343	DIVERGENT-MASKED_Complete	5
JU2619	A	1e-05	0.928497	DIVERGENT-MASKED_Complete	5
NIC258	A	1e-05	0.929519	DIVERGENT-MASKED_Complete	5
JU2566	A	0.932852	0.932852	DIVERGENT-MASKED_Complete	5
ED3040	A	1e-05	0.933503	DIVERGENT-MASKED_Complete	5
EG4946	A	0.066333	0.933637	DIVERGENT-MASKED_Complete	5
JU440	A	0.934002	0.934002	DIVERGENT-MASKED_Complete	5
MY2530	A	0.062711	0.937259	DIVERGENT-MASKED_Complete	5
QG2824	A	1e-05	0.938487	DIVERGENT-MASKED_Complete	5
NIC275	A	1e-05	0.942039	DIVERGENT-MASKED_Complete	5
JU3135	A	0.056577	0.942096	DIVERGENT-MASKED_Complete	5
QG2818	A	1e-05	0.943785	DIVERGENT-MASKED_Complete	5
XZ1513	A	1e-05	0.947791	DIVERGENT-MASKED_Complete	5
ECA593	A	1e-05	0.948681	DIVERGENT-MASKED_Complete	5
KR314	A	0.022146	0.955761	DIVERGENT-MASKED_Complete	5
XZ1672	A	1e-05	0.961394	DIVERGENT-MASKED_Complete	5
ECA807	A	1e-05	0.964097	DIVERGENT-MASKED_Complete	5
JU775	A	1.1e-05	0.967107	DIVERGENT-MASKED_Complete	5
JU3169	A	1e-05	0.973156	DIVERGENT-MASKED_Complete	5
GXW1	A	1e-05	0.977537	DIVERGENT-MASKED_Complete	5
ECA706	A	1e-05	0.985277	DIVERGENT-MASKED_Complete	5
ED3073	A	1.8e-05	0.999952	DIVERGENT-MASKED_Complete	5
ECA36	A	1e-05	0.999954	DIVERGENT-MASKED_Complete	5
ECA396	A	1.3e-05	0.999955	DIVERGENT-MASKED_Complete	5
ECA746	A	1.4e-05	0.999956	DIVERGENT-MASKED_Complete	5
ECA732	A	1e-05	0.999958	DIVERGENT-MASKED_Complete	5
CX11271	A	1.2e-05	0.999958	DIVERGENT-MASKED_Complete	5
ECA730	A	1.2e-05	0.999958	DIVERGENT-MASKED_Complete	5
ECA347	A	1.1e-05	0.999958	DIVERGENT-MASKED_Complete	5
JU2565	A	0.999959	0.999959	DIVERGENT-MASKED_Complete	5
CB4858	A	1.1e-05	0.999959	DIVERGENT-MASKED_Complete	5
JU3226	A	1e-05	0.999959	DIVERGENT-MASKED_Complete	5
ECA745	A	1.1e-05	0.999959	DIVERGENT-MASKED_Complete	5
XZ1514	A	1e-05	0.999959	DIVERGENT-MASKED_Complete	5
ECA705	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU2825	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ECA930	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
QG2843	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU1793	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU2575	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
MY679	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA744	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ED3011	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
QG2823	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA777	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA712	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
QG536	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA733	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
QG2850	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU406	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ECA191	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
LSJ1	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ECA768	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
QX1211	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
CX11292	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
XZ1516	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU1088	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA252	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
CB4932	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ECA778	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA738	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
MY2573	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ED3048	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU1172	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ED3077	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
MY2147	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
CB4851	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
BRC20067	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
MY23	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA723	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU1568	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ECA742	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU2257	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
JU2016	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA760	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU2572	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
JU1792	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ECA741	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU2466	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
NIC1049	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
QG2825	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
PB303	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU367	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
JU2800	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
MY518	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
MY2585	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU311	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ECA363	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU1249	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
JU2578	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA722	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
N2	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ECA701	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU2878	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
WN2066	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ECA710	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU3141	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
MY2713	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
MY2693	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA740	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU3282	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
WN2064	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
NIC1107	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
ED3005	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU3167	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
ECA812	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
QG2932	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
JU394	A	0.99996	0.99996	DIVERGENT-MASKED_Complete	5
RC301	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
NIC269	A	1e-05	0.99996	DIVERGENT-MASKED_Complete	5
QG2846	B	0.329228	0.374943	DIVERGENT-MASKED_Complete	5
NIC259	B	0.320346	0.402686	DIVERGENT-MASKED_Complete	5
DL200	B	0.235419	0.412188	DIVERGENT-MASKED_Complete	5
JU2576	B	0.168502	0.41531	DIVERGENT-MASKED_Complete	5
JU3137	B	0.420521	0.420521	DIVERGENT-MASKED_Complete	5
JU642	B	0.258379	0.424018	DIVERGENT-MASKED_Complete	5
NIC268	B	0.370023	0.441853	DIVERGENT-MASKED_Complete	5
QW947	B	0.450027	0.450027	DIVERGENT-MASKED_Complete	5
NIC195	B	0.363599	0.451603	DIVERGENT-MASKED_Complete	5
QX1791	B	0.108504	0.464453	DIVERGENT-MASKED_Complete	5
JU1491	B	0.442042	0.493629	DIVERGENT-MASKED_Complete	5
JU2838	B	0.285866	0.496048	DIVERGENT-MASKED_Complete	5
JU782	B	0.328299	0.498188	DIVERGENT-MASKED_Complete	5
WN2001	B	0.498435	0.498435	DIVERGENT-MASKED_Complete	5
QG2832	B	0.497144	0.502826	DIVERGENT-MASKED_Complete	5
JU397	B	1e-05	0.503079	DIVERGENT-MASKED_Complete	5
NIC1	B	0.504109	0.504109	DIVERGENT-MASKED_Complete	5
JU778	B	0.441638	0.505594	DIVERGENT-MASKED_Complete	5
JU1581	B	1e-05	0.506391	DIVERGENT-MASKED_Complete	5
XZ2020	B	0.508321	0.508321	DIVERGENT-MASKED_Complete	5
JU1395	B	0.491234	0.508736	DIVERGENT-MASKED_Complete	5
CB4852	B	0.513814	0.513814	DIVERGENT-MASKED_Complete	5
QG2841	B	0.515204	0.515204	DIVERGENT-MASKED_Complete	5
JU2478	B	0.515228	0.515228	DIVERGENT-MASKED_Complete	5
NIC527	B	0.197787	0.518602	DIVERGENT-MASKED_Complete	5
JU1242	B	1e-05	0.521447	DIVERGENT-MASKED_Complete	5
JU1934	B	1e-05	0.521597	DIVERGENT-MASKED_Complete	5
JU2522	B	0.478336	0.521634	DIVERGENT-MASKED_Complete	5
JU2586	B	0.531914	0.531914	DIVERGENT-MASKED_Complete	5
NIC274	B	0.467765	0.532205	DIVERGENT-MASKED_Complete	5
WN2002	B	0.532769	0.532769	DIVERGENT-MASKED_Complete	5
EG4724	B	0.535477	0.535477	DIVERGENT-MASKED_Complete	5
MY795	B	0.539518	0.539518	DIVERGENT-MASKED_Complete	5
JT11398	B	0.459671	0.540299	DIVERGENT-MASKED_Complete	5
ECA369	B	1e-05	0.542208	DIVERGENT-MASKED_Complete	5
WN2050	B	1e-05	0.54499	DIVERGENT-MASKED_Complete	5
JU2907	B	0.454049	0.545921	DIVERGENT-MASKED_Complete	5
NIC166	B	0.310564	0.55332	DIVERGENT-MASKED_Complete	5
JU3291	B	1e-05	0.553761	DIVERGENT-MASKED_Complete	5
JU3132	B	1e-05	0.554548	DIVERGENT-MASKED_Complete	5
JU1400	B	0.555105	0.555105	DIVERGENT-MASKED_Complete	5
QG2837	B	0.555691	0.555691	DIVERGENT-MASKED_Complete	5
NIC276	B	0.556372	0.556372	DIVERGENT-MASKED_Complete	5
NIC2	B	0.556544	0.556544	DIVERGENT-MASKED_Complete	5
NIC266	B	0.20382	0.558377	DIVERGENT-MASKED_Complete	5
JU1246	B	1e-05	0.559862	DIVERGENT-MASKED_Complete	5
QX1792	B	0.344258	0.560158	DIVERGENT-MASKED_Complete	5
JU1213	B	1e-05	0.56075	DIVERGENT-MASKED_Complete	5
CX11307	B	0.561341	0.561341	DIVERGENT-MASKED_Complete	5
JU561	B	0.56183	0.56183	DIVERGENT-MASKED_Complete	5
NIC529	B	0.565032	0.565032	DIVERGENT-MASKED_Complete	5
JU2879	B	0.429593	0.570377	DIVERGENT-MASKED_Complete	5
CX11264	B	0.427753	0.572217	DIVERGENT-MASKED_Complete	5
JU1543	B	0.426654	0.573316	DIVERGENT-MASKED_Complete	5
PS2025	B	0.425271	0.574699	DIVERGENT-MASKED_Complete	5
EG4725	B	0.574713	0.574713	DIVERGENT-MASKED_Complete	5
NIC255	B	0.576128	0.576128	DIVERGENT-MASKED_Complete	5
