samples	cluster	frac_cluster	max_frac	analysis_type	K
QG2846	A	1e-05	0.374943	DIVERGENT-MASKED_Complete	5
NIC259	A	0.276947	0.402686	DIVERGENT-MASKED_Complete	5
DL200	A	0.412188	0.412188	DIVERGENT-MASKED_Complete	5
JU2576	A	0.41531	0.41531	DIVERGENT-MASKED_Complete	5
JU3137	A	0.255487	0.420521	DIVERGENT-MASKED_Complete	5
JU642	A	0.424018	0.424018	DIVERGENT-MASKED_Complete	5
NIC268	A	1e-05	0.441853	DIVERGENT-MASKED_Complete	5
QW947	A	0.261414	0.450027	DIVERGENT-MASKED_Complete	5
NIC195	A	0.099079	0.451603	DIVERGENT-MASKED_Complete	5
QX1791	A	0.233818	0.464453	DIVERGENT-MASKED_Complete	5
JU1491	A	0.064309	0.493629	DIVERGENT-MASKED_Complete	5
JU2838	A	1e-05	0.496048	DIVERGENT-MASKED_Complete	5
JU782	A	0.173493	0.498188	DIVERGENT-MASKED_Complete	5
WN2001	A	0.052216	0.498435	DIVERGENT-MASKED_Complete	5
QG2832	A	1e-05	0.502826	DIVERGENT-MASKED_Complete	5
JU397	A	0.496891	0.503079	DIVERGENT-MASKED_Complete	5
NIC1	A	0.44951	0.504109	DIVERGENT-MASKED_Complete	5
JU778	A	1e-05	0.505594	DIVERGENT-MASKED_Complete	5
JU1581	A	0.493579	0.506391	DIVERGENT-MASKED_Complete	5
XZ2020	A	1e-05	0.508321	DIVERGENT-MASKED_Complete	5
JU1395	A	0.508736	0.508736	DIVERGENT-MASKED_Complete	5
CB4852	A	0.486151	0.513814	DIVERGENT-MASKED_Complete	5
QG2841	A	1e-05	0.515204	DIVERGENT-MASKED_Complete	5
JU2478	A	0.443714	0.515228	DIVERGENT-MASKED_Complete	5
NIC527	A	0.283591	0.518602	DIVERGENT-MASKED_Complete	5
JU1242	A	0.478523	0.521447	DIVERGENT-MASKED_Complete	5
JU1934	A	0.478373	0.521597	DIVERGENT-MASKED_Complete	5
JU2522	A	1e-05	0.521634	DIVERGENT-MASKED_Complete	5
JU2586	A	1e-05	0.531914	DIVERGENT-MASKED_Complete	5
NIC274	A	1e-05	0.532205	DIVERGENT-MASKED_Complete	5
WN2002	A	0.438875	0.532769	DIVERGENT-MASKED_Complete	5
EG4724	A	1e-05	0.535477	DIVERGENT-MASKED_Complete	5
MY795	A	0.460452	0.539518	DIVERGENT-MASKED_Complete	5
JT11398	A	0.540299	0.540299	DIVERGENT-MASKED_Complete	5
ECA369	A	0.000728	0.542208	DIVERGENT-MASKED_Complete	5
WN2050	A	0.45498	0.54499	DIVERGENT-MASKED_Complete	5
JU2907	A	0.545921	0.545921	DIVERGENT-MASKED_Complete	5
NIC166	A	0.55332	0.55332	DIVERGENT-MASKED_Complete	5
JU3291	A	0.446209	0.553761	DIVERGENT-MASKED_Complete	5
JU3132	A	0.445422	0.554548	DIVERGENT-MASKED_Complete	5
JU1400	A	0.196815	0.555105	DIVERGENT-MASKED_Complete	5
QG2837	A	1e-05	0.555691	DIVERGENT-MASKED_Complete	5
NIC276	A	1e-05	0.556372	DIVERGENT-MASKED_Complete	5
NIC2	A	0.443422	0.556544	DIVERGENT-MASKED_Complete	5
NIC266	A	0.237783	0.558377	DIVERGENT-MASKED_Complete	5
JU1246	A	0.440108	0.559862	DIVERGENT-MASKED_Complete	5
QX1792	A	0.095564	0.560158	DIVERGENT-MASKED_Complete	5
JU1213	A	0.43922	0.56075	DIVERGENT-MASKED_Complete	5
CX11307	A	1e-05	0.561341	DIVERGENT-MASKED_Complete	5
JU561	A	0.43814	0.56183	DIVERGENT-MASKED_Complete	5
NIC529	A	0.434938	0.565032	DIVERGENT-MASKED_Complete	5
JU2879	A	1e-05	0.570377	DIVERGENT-MASKED_Complete	5
CX11264	A	1e-05	0.572217	DIVERGENT-MASKED_Complete	5
JU1543	A	0.573316	0.573316	DIVERGENT-MASKED_Complete	5
PS2025	A	1e-05	0.574699	DIVERGENT-MASKED_Complete	5
EG4725	A	1e-05	0.574713	DIVERGENT-MASKED_Complete	5
NIC255	A	0.423842	0.576128	DIVERGENT-MASKED_Complete	5
JU1652	A	0.576729	0.576729	DIVERGENT-MASKED_Complete	5
JU2811	A	1e-05	0.584551	DIVERGENT-MASKED_Complete	5
QG2875	A	0.008644	0.584704	DIVERGENT-MASKED_Complete	5
CX11262	A	1e-05	0.584736	DIVERGENT-MASKED_Complete	5
AB1	A	0.584963	0.584963	DIVERGENT-MASKED_Complete	5
NIC522	A	0.585209	0.585209	DIVERGENT-MASKED_Complete	5
