samples	cluster	frac_cluster	max_frac	analysis_type	K
JU751	A	1e-05	0.281919	GATK-STRELKA_Intersection_Complete	12
JU1400	A	1e-05	0.296074	GATK-STRELKA_Intersection_Complete	12
JU3228	A	1e-05	0.298523	GATK-STRELKA_Intersection_Complete	12
JU3125	A	1e-05	0.299634	GATK-STRELKA_Intersection_Complete	12
NIC515	A	1e-05	0.345039	GATK-STRELKA_Intersection_Complete	12
WN2050	A	0.361694	0.361694	GATK-STRELKA_Intersection_Complete	12
JU1652	A	0.055775	0.371226	GATK-STRELKA_Intersection_Complete	12
ED3017	A	1e-05	0.373561	GATK-STRELKA_Intersection_Complete	12
JU847	A	1e-05	0.374115	GATK-STRELKA_Intersection_Complete	12
NIC501	A	0.375869	0.375869	GATK-STRELKA_Intersection_Complete	12
NIC1	A	1e-05	0.379189	GATK-STRELKA_Intersection_Complete	12
JU3127	A	1e-05	0.382343	GATK-STRELKA_Intersection_Complete	12
QG2813	A	1e-05	0.392905	GATK-STRELKA_Intersection_Complete	12
WN2001	A	0.35757	0.394019	GATK-STRELKA_Intersection_Complete	12
JU2593	A	1e-05	0.395884	GATK-STRELKA_Intersection_Complete	12
WN2064	A	1e-05	0.39772	GATK-STRELKA_Intersection_Complete	12
JU2587	A	1e-05	0.401245	GATK-STRELKA_Intersection_Complete	12
XZ2020	A	1e-05	0.403056	GATK-STRELKA_Intersection_Complete	12
ED3046	A	1e-05	0.403589	GATK-STRELKA_Intersection_Complete	12
QG2846	A	0.049483	0.405123	GATK-STRELKA_Intersection_Complete	12
ED3049	A	1e-05	0.409136	GATK-STRELKA_Intersection_Complete	12
JU3167	A	0.410668	0.410668	GATK-STRELKA_Intersection_Complete	12
NIC522	A	1e-05	0.412535	GATK-STRELKA_Intersection_Complete	12
EG4725	A	0.382571	0.413684	GATK-STRELKA_Intersection_Complete	12
NIC513	A	1e-05	0.414723	GATK-STRELKA_Intersection_Complete	12
EG4349	A	1e-05	0.414914	GATK-STRELKA_Intersection_Complete	12
NIC272	A	0.186519	0.417869	GATK-STRELKA_Intersection_Complete	12
JU3144	A	1e-05	0.418223	GATK-STRELKA_Intersection_Complete	12
CX11285	A	1e-05	0.432282	GATK-STRELKA_Intersection_Complete	12
ECA592	A	1e-05	0.433613	GATK-STRELKA_Intersection_Complete	12
QW947	A	0.047456	0.434213	GATK-STRELKA_Intersection_Complete	12
JU2576	A	1e-05	0.435145	GATK-STRELKA_Intersection_Complete	12
JU2586	A	0.141011	0.43571	GATK-STRELKA_Intersection_Complete	12
LKC34	A	1e-05	0.435877	GATK-STRELKA_Intersection_Complete	12
ECA640	A	1e-05	0.438373	GATK-STRELKA_Intersection_Complete	12
JU2906	A	1e-05	0.441884	GATK-STRELKA_Intersection_Complete	12
JU3280	A	1e-05	0.444801	GATK-STRELKA_Intersection_Complete	12
QG2075	A	0.169937	0.447509	GATK-STRELKA_Intersection_Complete	12
JU2007	A	1e-05	0.448826	GATK-STRELKA_Intersection_Complete	12
NIC242	A	1e-05	0.455873	GATK-STRELKA_Intersection_Complete	12
JU2811	A	0.198623	0.458202	GATK-STRELKA_Intersection_Complete	12
JU2829	A	1e-05	0.464054	GATK-STRELKA_Intersection_Complete	12
MY920	A	1e-05	0.464112	GATK-STRELKA_Intersection_Complete	12
NIC1119	A	0.041655	0.464463	GATK-STRELKA_Intersection_Complete	12
JU774	A	1e-05	0.465918	GATK-STRELKA_Intersection_Complete	12
JU2106	A	0.465981	0.465981	GATK-STRELKA_Intersection_Complete	12
NIC514	A	1.2e-05	0.475241	GATK-STRELKA_Intersection_Complete	12
NIC166	A	1e-05	0.475757	GATK-STRELKA_Intersection_Complete	12
JU1808	A	1e-05	0.476026	GATK-STRELKA_Intersection_Complete	12
QG2836	A	1e-05	0.476973	GATK-STRELKA_Intersection_Complete	12
JU2862	A	1e-05	0.478167	GATK-STRELKA_Intersection_Complete	12
JU258	A	0.482393	0.482393	GATK-STRELKA_Intersection_Complete	12
JU2478	A	1e-05	0.487557	GATK-STRELKA_Intersection_Complete	12
WN2002	A	0.111194	0.489598	GATK-STRELKA_Intersection_Complete	12
JU2234	A	0.005345	0.493411	GATK-STRELKA_Intersection_Complete	12
JT11398	A	1e-05	0.498987	GATK-STRELKA_Intersection_Complete	12
ECA369	A	0.149995	0.50062	GATK-STRELKA_Intersection_Complete	12
CX11271	A	1e-05	0.500979	GATK-STRELKA_Intersection_Complete	12
DL200	A	1e-05	0.501272	GATK-STRELKA_Intersection_Complete	12
QG2875	A	1.7e-05	0.504403	GATK-STRELKA_Intersection_Complete	12
JU2878	A	1e-05	0.505877	GATK-STRELKA_Intersection_Complete	12
WN2063	A	1e-05	0.506686	GATK-STRELKA_Intersection_Complete	12
JU3128	A	1e-05	0.506956	GATK-STRELKA_Intersection_Complete	12
