N	eigenvalue	difference	twstat	p-value	effect.n
1	9.836346	NA	64.701	1.03193e-152	195.834
2	8.245402	-1.590944	60.907	1.20077e-139	229.869
3	6.347731	-1.897671	44.135	6.9934e-87	262.606
4	5.519460	-0.828271	36.839	1.05124e-66	283.755
5	4.718841	-0.800619	26.774	4.79374e-42	301.006
6	4.497555	-0.221286	26.017	2.36644e-40	313.023
7	4.311124	-0.186431	25.637	1.63458e-39	325.026
8	3.808453	-0.502671	17.621	2.63612e-23	337.212
9	3.774624	-0.033829	19.323	1.72115e-26	345.632
10	3.548445	-0.226179	16.404	4.06436e-21	355.110
11	3.374281	-0.174164	14.279	1.73308e-17	363.392
12	3.266369	-0.107913	13.535	2.80975e-16	370.862
13	3.194378	-0.071991	13.606	2.162e-16	378.156
14	3.151511	-0.042867	14.438	9.45799e-18	385.649
15	3.057228	-0.094282	13.836	9.20381e-17	393.723
16	2.987981	-0.069247	13.830	9.39036e-17	401.686
17	2.923079	-0.064902	13.894	7.39896e-17	409.833
18	2.790018	-0.133061	11.774	1.5297e-13	418.202
19	2.731238	-0.058780	11.721	1.83526e-13	425.679
20	2.615912	-0.115326	9.755	1.20304e-10	433.293
21	2.515793	-0.100119	8.038	2.11225e-08	440.080
22	2.466363	-0.049429	7.848	1.24256e-08	446.162
23	2.428718	-0.037646	8.020	2.2275e-08	452.269
24	2.397266	-0.031451	8.398	7.45519e-09	458.578
25	2.327559	-0.069707	7.383	4.71705e-08	465.201
26	2.306902	-0.020657	8.065	1.956e-08	471.438
27	2.235980	-0.070922	6.870	1.9432e-07	478.146
28	2.184976	-0.051004	6.303	8.85799e-07	484.364
29	2.180047	-0.004929	7.478	3.61601e-08	490.407
30	2.123773	-0.056274	6.664	3.38949e-07	497.181
31	2.067843	-0.055930	5.759	3.57637e-06	503.649
32	2.056637	-0.011206	6.620	3.81587e-07	509.756
33	2.013071	-0.043566	6.152	1.3124e-06	516.441
34	1.940170	-0.072901	4.337	0.000105177	522.993
35	1.926389	-0.013781	4.959	2.5177e-05	528.678
36	1.882826	-0.043563	4.271	0.000121665	534.801
37	1.831608	-0.051218	3.153	0.00126704	540.654
38	1.815785	-0.015823	3.573	0.000543516	545.997
39	1.808418	-0.007367	4.408	8.97255e-05	551.660
40	1.789443	-0.018974	4.734	4.26853e-05	557.892
41	1.759560	-0.029883	4.531	6.79027e-05	564.425
42	1.729264	-0.030295	4.269	0.000122183	570.956
43	1.685119	-0.044146	3.263	0.00101889	577.448
44	1.662426	-0.022692	3.260	0.00102486	583.456
45	1.640244	-0.022182	3.265	0.00101417	589.565
46	1.592125	-0.048120	1.873	0.0128426	595.782
47	1.575707	-0.016417	2.069	0.00926499	601.268
48	1.540294	-0.035413	1.222	0.0353406	606.960
49	1.519337	-0.020957	1.102	0.0420585	612.235
50	1.506198	-0.013139	1.399	0.0271612	617.520
51	1.480418	-0.025780	0.981	0.0498577	623.070
52	1.469429	-0.010989	1.376	0.0281207	628.451
53	1.432719	-0.036710	0.273	0.123603	634.164
54	1.416958	-0.015761	0.327	0.116053	639.275
55	1.411236	-0.005721	0.978	0.0501083	644.497
56	1.393420	-0.017816	0.921	0.0541954	650.218
57	1.368931	-0.024489	0.432	0.102272	655.994
58	1.354987	-0.013944	0.558	0.0874063	661.538
