N	eigenvalue	difference	twstat	p-value	effect.n
1	9.484990	NA	62.787	4.50348e-146	202.896
2	8.537402	-0.947588	66.493	5.10161e-159	234.926
3	6.307162	-2.230239	45.495	7.75758e-91	272.591
4	5.383597	-0.923565	36.066	1.12158e-64	294.736
5	4.717172	-0.666425	28.034	6.47036e-45	311.588
6	4.468095	-0.249078	26.683	7.68636e-42	324.362
7	4.342375	-0.125719	27.608	6.17399e-44	336.817
8	4.039908	-0.302467	24.291	1.38282e-36	350.201
9	3.869324	-0.170584	23.393	1.12139e-34	362.149
10	3.595364	-0.273960	19.493	8.10109e-27	373.963
11	3.403568	-0.191796	17.016	3.31027e-22	384.015
12	3.312524	-0.091044	16.858	6.35327e-22	393.051
13	3.235095	-0.077429	16.983	3.78901e-22	402.233
14	3.076573	-0.158522	14.664	3.97077e-18	411.709
15	3.003738	-0.072835	14.551	6.14351e-18	420.214
16	2.985380	-0.018358	16.049	1.71091e-20	428.859
17	2.936427	-0.048952	16.700	1.2169e-21	438.506
18	2.747138	-0.189289	12.749	4.94306e-15	448.754
19	2.695377	-0.051761	12.882	3.05637e-15	457.090
20	2.596266	-0.099111	11.342	6.70034e-13	465.682
21	2.498841	-0.097425	9.641	1.7248e-10	473.641
22	2.429768	-0.069073	8.745	2.66765e-09	480.875
23	2.418446	-0.011322	9.859	8.67344e-11	487.790
24	2.331359	-0.087087	8.190	1.36462e-08	495.427
25	2.312002	-0.019356	8.931	1.52581e-09	502.331
26	2.276157	-0.035846	9.065	1.01888e-09	509.765
27	2.198926	-0.077230	7.515	3.25056e-08	517.419
28	2.140825	-0.058101	6.570	4.3628e-07	524.377
29	2.126137	-0.014688	7.324	5.5265e-08	530.956
30	2.080709	-0.045428	6.812	2.27671e-07	538.067
31	2.042211	-0.038499	6.526	4.91343e-07	545.028
32	2.011505	-0.030706	6.533	4.81979e-07	551.958
33	1.989832	-0.021674	6.922	1.68592e-07	559.021
34	1.941558	-0.048273	6.101	1.49654e-06	566.439
35	1.938655	-0.002903	7.298	5.93173e-08	573.518
36	1.897555	-0.041100	6.762	2.60535e-07	581.440
37	1.850489	-0.047066	5.862	2.76041e-06	589.188
38	1.815797	-0.034692	5.468	7.38553e-06	596.536
39	1.777997	-0.037800	4.862	3.16495e-05	603.779
40	1.741615	-0.036381	4.256	0.000125785	610.785
41	1.693011	-0.048604	2.948	0.00188601	617.546
42	1.683028	-0.009983	3.552	0.000566994	623.636
43	1.660075	-0.022952	3.492	0.000640813	630.191
44	1.625113	-0.034963	2.759	0.00270104	636.821
45	1.579186	-0.045927	1.348	0.029345	643.107
46	1.562090	-0.017095	1.431	0.0258977	648.633
47	1.542959	-0.019131	1.390	0.0275388	654.295
48	1.528492	-0.014468	1.601	0.0199082	660.019
49	1.515835	-0.012656	1.918	0.0119341	665.965
50	1.481924	-0.033911	0.988	0.0494054	672.207
51	1.462138	-0.019786	0.824	0.0618366	677.952
52	1.446450	-0.015689	0.884	0.0570007	683.680
53	1.432123	-0.014327	1.019	0.0472884	689.534
54	1.411582	-0.020541	0.763	0.0670418	695.569
55	1.386830	-0.024752	0.211	0.132899	701.526
